,importance
ULTOSC,0.03798422
AROON_down,0.029429832
T3,0.028245103
AVGPRICE,0.027069798
STOCHF_fastk,0.023896381
AROON_up,0.02257998
TRANGE,0.02228321
DEMA,0.020472972
MAVP,0.017268522
BB_UPPER,0.016950587
TSF,0.015985738
STOCHRSI_fastd,0.015929738
Close,0.015768914
PLUS_DI,0.01488095
CCI,0.014833943
RSI,0.014597044
PLUS_DM,0.014474691
AROONOSC,0.014179626
MINUS_DI,0.013276037
MOM,0.013180956
ATR,0.013096888
EMA,0.013068799
WILLR,0.013043983
MACDFIX_signal,0.013025233
CORREL,0.012736505
MACD_signal,0.012336253
SAREXT,0.012191051
MACDEXT_hist,0.012162655
STOCHRSI_fastk,0.012111417
Open,0.012110147
LINEARREG_SLOPE,0.012045257
TRIMA,0.011753961
High,0.0115436185
HT_DCPERIOD,0.011528449
MINUS_DM,0.011472876
LINEARREG_ANGLE,0.0114053795
ROC,0.011190402
FAMA,0.0111639155
NATR,0.011045939
HT_DCPHASE,0.011009122
MACD,0.010898956
MACD_hist,0.010806903
HT_PHASOR_inphase,0.010751149
HT_SINE_sine,0.010571961
BB_LOWER,0.010461741
ROCP,0.010421458
TRIX,0.010363916
STDDEV,0.010227818
VAR,0.010123421
MAMA,0.010116935
BETA,0.010109535
CMO,0.009980257
ADXR,0.009885968
STOCH_slowd,0.0097533455
HT_PHASOR_quadrature,0.009640803
MACDFIX,0.009482846
ADX,0.009320039
BOP,0.00926703
MACDFIX_hist,0.009246496
HT_SINE_leadsine,0.009213861
STOCH_slowk,0.009135667
TEMA,0.009126845
SMA,0.009017888
SAR,0.008905442
APO,0.008891333
DX,0.008850259
STOCHF_fastd,0.008844404
Low,0.008743105
MA,0.008511077
BB_MIDDLE,0.008151681
MIDPRICE,0.008120051
MACDEXT,0.008003405
WMA,0.007991948
MACDEXT_signal,0.007975901
MIDPOINT,0.007950474
PPO,0.007941911
KAMA,0.00782587
LINEARREG,0.0077560544
MEDPRICE,0.0073661436
LINEARREG_INTERCEPT,0.006916008
HT_TRENDMODE,0.0
ROCR100,0.0
HT_TRENDLINE,0.0
ROCR,0.0
WCLPRICE,0.0
TYPPRICE,0.0
PATTERN_SUM,0.0
