,importance
MAVP,0.04024908
MACD_hist,0.03139037
EMA,0.025394084
Low,0.019886779
High,0.019339327
PLUS_DM,0.019286156
Open,0.019169932
Volume,0.018610716
KAMA,0.017763725
TRANGE,0.016786044
PPO,0.01677371
Change,0.015644914
ADX,0.015277311
Previous Day Open Interest,0.015164482
WCLPRICE,0.014812656
MACDEXT_signal,0.014697361
AD,0.014599985
MACD,0.0145423515
Last,0.014367755
MIDPOINT,0.013961947
MACDEXT_hist,0.01328059
AVGPRICE,0.0132686095
LINEARREG,0.0129281385
VAR,0.012365861
LINEARREG_SLOPE,0.011966394
HT_DCPHASE,0.011915494
DX,0.011907259
WILLR,0.011854533
MINUS_DI,0.011490007
OBV,0.011000875
BB_MIDDLE,0.010990905
AROONOSC,0.010958706
BB_UPPER,0.010870485
CMO,0.010771388
ADXR,0.010771057
MFI,0.0107204495
ROCP,0.010674564
STOCH_slowk,0.010380921
PATTERN_SUM,0.010378291
SAREXT,0.010179289
MACDFIX_hist,0.010160146
T3,0.010156112
HT_PHASOR_inphase,0.010114725
CCI,0.010082952
Close,0.009961583
MACDFIX,0.009904239
MINUS_DM,0.009901729
MEDPRICE,0.009691482
ROC,0.009561556
ATR,0.009353597
LINEARREG_INTERCEPT,0.00920037
MACD_signal,0.009078297
MOM,0.0090268515
HT_DCPERIOD,0.008985347
TEMA,0.008911138
STOCHF_fastk,0.00879324
APO,0.008783431
TRIX,0.008652244
HT_TRENDLINE,0.0086291665
STOCHRSI_fastd,0.008601847
NATR,0.0084427195
SMA,0.008147998
LINEARREG_ANGLE,0.00812656
HT_PHASOR_quadrature,0.0077236034
MAMA,0.0076819053
CORREL,0.0076816473
BETA,0.007655076
AROON_up,0.007426584
STDDEV,0.0073995157
ADOSC,0.007331206
SAR,0.007290299
BB_LOWER,0.0072303563
STOCHRSI_fastk,0.0070602978
MACDEXT,0.007020687
MA,0.0070159314
MACDFIX_signal,0.0068760463
ULTOSC,0.0068580713
FAMA,0.006772143
HT_SINE_sine,0.006759133
TRIMA,0.006607642
HT_SINE_leadsine,0.006601765
PLUS_DI,0.0064980313
STOCH_slowd,0.006493047
TSF,0.006391954
BOP,0.006318705
MIDPRICE,0.0057658297
AROON_down,0.0057366397
TYPPRICE,0.0056988923
STOCHF_fastd,0.004963834
DEMA,0.0044812923
ROCR,0.0
ROCR100,0.0
HT_TRENDMODE,0.0
WMA,0.0
RSI,0.0
