,importance
ULTOSC,0.033483114
ROCP,0.032010566
AROON_up,0.025809128
STOCHF_fastk,0.024207577
ATR,0.023426969
LINEARREG_ANGLE,0.022871219
AROON_down,0.022249054
TRANGE,0.02016467
VAR,0.01987036
AROONOSC,0.019832257
MIDPRICE,0.01896919
SMA,0.018725537
HT_DCPERIOD,0.018598177
CCI,0.018420393
STOCHRSI_fastk,0.017265476
BETA,0.016507342
Low,0.015128598
SAREXT,0.014807696
MA,0.014355624
STOCHRSI_fastd,0.013983627
CMO,0.0139512895
CORREL,0.013885713
DX,0.013823327
MACDFIX_signal,0.013745799
MACD_hist,0.0136691835
MACD_signal,0.013580223
LINEARREG_INTERCEPT,0.013445366
PLUS_DM,0.012937802
Close,0.012887668
BB_MIDDLE,0.012788903
High,0.012581931
ROC,0.012331135
BB_LOWER,0.012191808
BOP,0.012060971
MACD,0.011946019
Open,0.011934375
RSI,0.011892379
MINUS_DI,0.011538951
MACDFIX_hist,0.011423587
ADXR,0.011316662
PLUS_DI,0.011274836
PATTERN_SUM,0.011091557
FAMA,0.0109964525
HT_DCPHASE,0.010889471
PPO,0.010863371
STOCH_slowk,0.010856701
ADX,0.0106682675
HT_PHASOR_quadrature,0.010610282
STDDEV,0.010361893
TRIMA,0.010286604
NATR,0.010249099
ROCR,0.01008422
BB_UPPER,0.010007885
MACDEXT_signal,0.009584828
MOM,0.009471754
APO,0.009439555
MINUS_DM,0.009290061
SAR,0.009259548
HT_SINE_leadsine,0.009106726
STOCH_slowd,0.009049562
MACDFIX,0.008715084
LINEARREG_SLOPE,0.008610042
MACDEXT_hist,0.008146255
KAMA,0.008109365
HT_SINE_sine,0.007978363
MAVP,0.007779317
TRIX,0.007691637
HT_PHASOR_inphase,0.0076417415
DEMA,0.0074326843
STOCHF_fastd,0.0072418414
AVGPRICE,0.0072352835
EMA,0.007155701
WILLR,0.007107755
MAMA,0.006955277
TSF,0.0066629634
MIDPOINT,0.006244269
HT_TRENDLINE,0.0057880306
T3,0.0054420717
HT_TRENDMODE,0.0
ROCR100,0.0
TEMA,0.0
WMA,0.0
LINEARREG,0.0
WCLPRICE,0.0
TYPPRICE,0.0
MEDPRICE,0.0
MACDEXT,0.0
