,importance
FAMA,0.30350196
ADX,0.063491575
STOCHRSI_fastk,0.052692167
MA,0.041434612
VAR,0.029970946
STDDEV,0.028266447
SAREXT,0.0277818
PLUS_DM,0.025413007
APO,0.025280248
ADXR,0.023995964
BB_LOWER,0.022817316
LINEARREG_INTERCEPT,0.02200527
PLUS_DI,0.019578015
TRIX,0.019352654
Open,0.016101554
Low,0.015376075
MIDPRICE,0.014352682
DX,0.014250564
BOP,0.012526396
TRANGE,0.012301636
MINUS_DI,0.012018378
High,0.011380935
BB_MIDDLE,0.011161674
MACD,0.0107925115
MACDEXT_signal,0.010756556
MACD_hist,0.010043038
ROC,0.00822575
CCI,0.0077706184
BETA,0.007337584
STOCHF_fastk,0.006676617
PPO,0.006612716
HT_PHASOR_quadrature,0.0064895097
MACDFIX_hist,0.0064742668
HT_DCPERIOD,0.0063554463
RSI,0.0056093703
MINUS_DM,0.0054996675
ULTOSC,0.0053410023
NATR,0.005290935
MOM,0.00511059
BB_UPPER,0.0050572664
AROON_up,0.0048093977
AROON_down,0.004570508
TRIMA,0.0043225605
HT_PHASOR_inphase,0.0043204017
MACD_signal,0.003933001
STOCH_slowk,0.0037780853
MACDEXT_hist,0.003774039
CORREL,0.003604994
WILLR,0.0035202631
ATR,0.003503099
MACDFIX_signal,0.0034271493
TEMA,0.0030897958
DEMA,0.0030576298
HT_SINE_sine,0.0030016059
CMO,0.0027922543
Close,0.0
AROONOSC,0.0
STOCH_slowd,0.0
TSF,0.0
STOCHF_fastd,0.0
STOCHRSI_fastd,0.0
HT_TRENDMODE,0.0
MIDPOINT,0.0
EMA,0.0
LINEARREG_SLOPE,0.0
SAR,0.0
MAVP,0.0
SMA,0.0
T3,0.0
WMA,0.0
MAMA,0.0
MACDEXT,0.0
MACDFIX,0.0
KAMA,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
HT_DCPHASE,0.0
HT_SINE_leadsine,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
LINEARREG,0.0
LINEARREG_ANGLE,0.0
HT_TRENDLINE,0.0
PATTERN_SUM,0.0
