,importance
TSF,0.023138685
LINEARREG,0.021032333
TYPPRICE,0.020148918
MEDPRICE,0.019182308
MAMA,0.017807791
scaled_NET_SENTIMENT,0.017760217
MIDPOINT,0.017236074
TEMA,0.017121788
TRIMA,0.015231396
LINEARREG_ANGLE,0.014549648
T3,0.014159
STOCH_slowd,0.014146556
WCLPRICE,0.014078274
STOCHRSI_fastk,0.013804913
PLUS_DM,0.013592495
MACDFIX_hist,0.013581205
ATR,0.013304237
RSI,0.012684221
LINEARREG_INTERCEPT,0.012550384
MACD_hist,0.012454527
ROCR100,0.012423481
WILLR,0.012000893
STOCH_slowk,0.011864529
AVGPRICE,0.011785759
BB_MIDDLE,0.011674799
MINUS_DI,0.01165561
MACDEXT_signal,0.011589422
AD,0.011387408
HT_TRENDLINE,0.011248526
ROCP,0.011210154
NATR,0.011162019
LINEARREG_SLOPE,0.011134439
STOCHF_fastk,0.011060572
MOM,0.011054755
PATTERN_SUM,0.010909215
PLUS_DI,0.010904359
BOP,0.010101413
SAREXT,0.010054607
OBV,0.01000185
KAMA,0.009908317
TRIX,0.009893802
ULTOSC,0.009877944
STDDEV,0.009850662
TRANGE,0.009803132
MACDFIX_signal,0.009794937
MINUS_DM,0.009759008
ADX,0.009564673
WMA,0.009522864
ROCR,0.009516863
MACDEXT_hist,0.009453714
PPO,0.00931271
SMA,0.009268467
APO,0.009116192
MAVP,0.0090942895
AROON_down,0.008803987
VAR,0.008720055
EMA,0.0086536035
HT_PHASOR_quadrature,0.008600309
CMO,0.00852283
DX,0.0085200695
FAMA,0.008489292
ADOSC,0.008458569
AROONOSC,0.008424876
STOCHRSI_fastd,0.008420882
ROC,0.008407206
BB_LOWER,0.008189835
MACD_signal,0.008173001
BETA,0.008134125
HT_PHASOR_inphase,0.0077880467
MFI,0.0077699376
HT_SINE_leadsine,0.00774566
STOCHF_fastd,0.0076882495
MIDPRICE,0.0076807
MACDFIX,0.007641168
CCI,0.0075437143
ADXR,0.0075342995
BB_UPPER,0.007528432
MACD,0.007345012
HT_TRENDMODE,0.007263718
MACDEXT,0.0072424333
Change,0.007165244
HT_DCPERIOD,0.007067347
EFP Volume,0.007047323
CORREL,0.00699322
Low,0.0069382763
AROON_up,0.0068200235
HT_SINE_sine,0.0065406985
Close,0.0065021995
SAR,0.006453624
HT_DCPHASE,0.006274596
Previous Day Open Interest,0.0061739744
High,0.006167484
EFS Volume,0.0057440805
MA,0.0055375765
DEMA,0.004933508
scaled_REGULATORY_PRESSURE,0.0048721703
Open,0.0042494135
Volume,0.004197018
Wave,0.0037328077
scaled_UNCERTAINTY_MODAL,0.0019800053
Block Volume,0.0007929649
