,importance
LINEARREG_INTERCEPT,0.024049353
TEMA,0.023271129
MAMA,0.020685822
TRIMA,0.02063327
MIDPOINT,0.020252889
Open,0.019135067
TRIX,0.018876318
High,0.018079465
LINEARREG_SLOPE,0.017628692
APO,0.017354019
HT_PHASOR_inphase,0.017247815
AD,0.016527066
MA,0.016467502
HT_TRENDLINE,0.016434543
MACDEXT_signal,0.01619336
PLUS_DM,0.016039073
Wave,0.01564882
SAR,0.015414086
BB_UPPER,0.015203926
T3,0.015069344
STOCH_slowd,0.014938023
STOCHRSI_fastd,0.014815292
HT_PHASOR_quadrature,0.0147727
MEDPRICE,0.014667235
DEMA,0.014313471
TSF,0.013960608
MACD,0.0137518495
BETA,0.013649576
CORREL,0.013552026
Close,0.0133873
CMO,0.012990995
HT_SINE_sine,0.012988064
ROCP,0.01294755
STOCHF_fastd,0.012752238
HT_DCPERIOD,0.012646577
AROON_down,0.012525775
BB_LOWER,0.012462596
EMA,0.012110938
STOCHF_fastk,0.012064235
STOCHRSI_fastk,0.012006271
Volume,0.011932469
WCLPRICE,0.011760686
STOCH_slowk,0.011741228
MAVP,0.011544922
STDDEV,0.011516921
ULTOSC,0.011516844
OBV,0.011343354
CCI,0.011164853
MACDFIX_hist,0.011152935
AVGPRICE,0.01092141
HT_SINE_leadsine,0.010860922
MACD_hist,0.010858929
VAR,0.010816635
MINUS_DM,0.010789763
ATR,0.010675519
BOP,0.010609053
SAREXT,0.010542967
Low,0.010452223
WILLR,0.010133004
ROC,0.009986664
HT_DCPHASE,0.009845417
BB_MIDDLE,0.009815605
Previous Day Open Interest,0.0098096
EFP Volume,0.00967358
MACDEXT,0.009601761
MIDPRICE,0.00946087
TRANGE,0.00940774
FAMA,0.009193166
MACDEXT_hist,0.009140741
ADOSC,0.008243506
LINEARREG,0.008171716
Change,0.008168675
KAMA,0.007792953
EFS Volume,0.007274916
MOM,0.006118364
ADX,0.0059316154
NATR,0.005739768
AROON_up,0.004656782
ADXR,0.0041169496
HT_TRENDMODE,0.0
Block Volume,0.0
PATTERN_SUM,0.0
scaled_NET_SENTIMENT,0.0
SMA,0.0
WMA,0.0
MACD_signal,0.0
scaled_UNCERTAINTY_MODAL,0.0
MFI,0.0
RSI,0.0
PLUS_DI,0.0
MINUS_DI,0.0
TYPPRICE,0.0
DX,0.0
MACDFIX,0.0
AROONOSC,0.0
MACDFIX_signal,0.0
PPO,0.0
ROCR,0.0
ROCR100,0.0
LINEARREG_ANGLE,0.0
scaled_REGULATORY_PRESSURE,0.0
