,importance
Low,0.1780831
High,0.14313708
Open,0.13980848
BB_MIDDLE,0.114883386
PLUS_DI,0.037115723
BB_UPPER,0.030955564
Close,0.027694194
ULTOSC,0.021581424
MACD,0.019129548
MACDFIX,0.018527437
BB_LOWER,0.018148987
HT_DCPERIOD,0.014220036
MACDEXT,0.014085764
ATR,0.012583217
HT_SINE_leadsine,0.012509085
VAR,0.012345469
MOM,0.010177728
STDDEV,0.010147588
PLUS_DM,0.0099441735
HT_DCPHASE,0.009000742
WILLR,0.007964835
STOCH_slowk,0.007305178
TRANGE,0.0072173285
DX,0.006983253
STOCHF_fastk,0.0059960233
DEMA,0.0058314805
ROCR,0.0057199686
KAMA,0.005630057
CCI,0.005487824
NATR,0.005142342
BETA,0.005039711
ROCR100,0.0048074597
ADX,0.004125344
MINUS_DM,0.0036189808
STOCHRSI_fastd,0.003345242
APO,0.0033067313
MACD_signal,0.0030942997
SAREXT,0.0030911274
AROONOSC,0.0029482895
HT_TRENDLINE,0.0026570158
MACDEXT_hist,0.0025716252
HT_PHASOR_inphase,0.0025139381
HT_PHASOR_quadrature,0.0025122373
MIDPOINT,0.0024770447
ADXR,0.002452103
STOCH_slowd,0.0023226035
MACDFIX_hist,0.0022320193
AROON_down,0.002229409
MACD_hist,0.0022156378
ROC,0.0020830138
LINEARREG_SLOPE,0.0018792117
AROON_up,0.0018583398
MIDPRICE,0.0016994111
BOP,0.0012749744
MINUS_DI,0.0011959216
ROCP,0.0011793582
FAMA,0.0011205294
EMA,0.0011112146
MAVP,0.0010818407
CMO,0.001074907
RSI,0.0009908113
AVGPRICE,0.000981109
LINEARREG_ANGLE,0.00095964794
PPO,0.0009155979
HT_SINE_sine,0.00086819474
T3,0.0007730736
LINEARREG_INTERCEPT,0.00076369144
TEMA,0.0007591114
TRIX,0.00071491976
MACDEXT_signal,0.00069930806
STOCHF_fastd,0.000555676
STOCHRSI_fastk,0.00054231746
CORREL,0.0
HT_TRENDMODE,0.0
MA,0.0
MAMA,0.0
SAR,0.0
SMA,0.0
TSF,0.0
LINEARREG,0.0
TRIMA,0.0
WMA,0.0
MACDFIX_signal,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
PATTERN_SUM,0.0
