,importance
ULTOSC,0.048422705
STOCHF_fastk,0.0385866
AROON_up,0.03854156
AROON_down,0.037507977
WILLR,0.036504626
LINEARREG_INTERCEPT,0.033866785
RSI,0.03200237
T3,0.031018188
TRANGE,0.02962925
KAMA,0.024255216
MIDPOINT,0.023846691
LINEARREG_SLOPE,0.022689037
ROC,0.02082938
ROCR,0.020789374
MINUS_DM,0.020708866
SAR,0.020621115
MACDFIX_hist,0.020443829
ADXR,0.020403093
STOCHRSI_fastk,0.02040115
CCI,0.020252092
LINEARREG_ANGLE,0.019362882
BB_LOWER,0.019210696
MACD_hist,0.018990083
PLUS_DI,0.018405238
DEMA,0.018166184
STOCH_slowd,0.017870016
SAREXT,0.017757067
MOM,0.017557662
ROCP,0.01693802
BETA,0.016529089
BB_MIDDLE,0.016255727
MACDFIX,0.015970126
HT_PHASOR_quadrature,0.01575561
PLUS_DM,0.014686217
HT_DCPERIOD,0.0141887525
TRIX,0.01399108
MACD,0.013697723
APO,0.013672093
NATR,0.01331523
ATR,0.013137025
MACDEXT_hist,0.012740667
MACD_signal,0.012727411
STDDEV,0.012668751
LINEARREG,0.012645866
STOCHRSI_fastd,0.012496396
STOCH_slowk,0.011713719
MINUS_DI,0.011467645
High,0.010469487
Open,0.008517861
Close,0.00777578
HT_PHASOR_inphase,0.0
HT_TRENDLINE,0.0
CMO,0.0
DX,0.0
MIDPRICE,0.0
MAVP,0.0
FAMA,0.0
MAMA,0.0
MA,0.0
STOCHF_fastd,0.0
HT_DCPHASE,0.0
EMA,0.0
BB_UPPER,0.0
Low,0.0
BOP,0.0
HT_TRENDMODE,0.0
CORREL,0.0
AROONOSC,0.0
SMA,0.0
TEMA,0.0
TRIMA,0.0
HT_SINE_sine,0.0
HT_SINE_leadsine,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
ROCR100,0.0
PPO,0.0
MACDFIX_signal,0.0
MACDEXT_signal,0.0
MACDEXT,0.0
WMA,0.0
TSF,0.0
VAR,0.0
ADX,0.0
PATTERN_SUM,0.0
