,importance
LINEARREG_ANGLE,0.07904789
LINEARREG_SLOPE,0.07891222
SAR,0.054367546
ROCP,0.04929356
ROCR100,0.048656087
MAMA,0.040635303
MACD,0.04062438
KAMA,0.04057963
MACDFIX_hist,0.040578745
PLUS_DM,0.03695282
ROC,0.0326036
FAMA,0.0319717
EMA,0.031619295
MEDPRICE,0.03021707
AVGPRICE,0.027075885
SAREXT,0.02703112
MINUS_DM,0.027030982
BB_MIDDLE,0.025128888
DEMA,0.022992786
CCI,0.022239206
HT_TRENDLINE,0.020459162
MAVP,0.020346671
MOM,0.020152066
Low,0.018792147
High,0.0186443
Close,0.018152568
MACD_hist,0.017832842
DX,0.016859388
Open,0.013501786
BB_LOWER,0.013323916
BB_UPPER,0.007196936
TYPPRICE,0.007108831
TRANGE,0.005331668
WCLPRICE,0.0034041777
MINUS_DI,0.00093503186
PLUS_DI,0.0008602247
TRIMA,0.00083113916
HT_DCPERIOD,0.0007896429
VAR,0.00072110264
MACDEXT,0.0006746388
MACDFIX_signal,0.00065443944
ROCR,0.0005551773
MACD_signal,0.00047833225
MACDEXT_hist,0.00047833225
MACDEXT_signal,0.00047833225
ADX,0.00046507342
T3,0.00046382312
APO,0.00045954422
STOCHRSI_fastd,0.0004513579
ATR,0.0004383569
WMA,0.00040495826
STDDEV,0.00040277152
TEMA,0.00034371024
HT_PHASOR_inphase,0.000296199
HT_PHASOR_quadrature,0.00015273345
RSI,0.0
CORREL,0.0
STOCHF_fastd,0.0
STOCH_slowk,0.0
HT_TRENDMODE,0.0
BOP,0.0
STOCH_slowd,0.0
STOCHF_fastk,0.0
STOCHRSI_fastk,0.0
WILLR,0.0
AROONOSC,0.0
ULTOSC,0.0
CMO,0.0
TRIX,0.0
AROON_up,0.0
AROON_down,0.0
MA,0.0
MIDPOINT,0.0
MIDPRICE,0.0
SMA,0.0
MACDFIX,0.0
PPO,0.0
NATR,0.0
HT_DCPHASE,0.0
HT_SINE_sine,0.0
HT_SINE_leadsine,0.0
BETA,0.0
LINEARREG,0.0
LINEARREG_INTERCEPT,0.0
TSF,0.0
ADXR,0.0
PATTERN_SUM,0.0
