,importance
BOP,0.041967053
STOCHF_fastk,0.031885
WILLR,0.027092956
STOCHRSI_fastk,0.021719832
STOCH_slowk,0.020037387
SMA,0.018684348
RSI,0.017865434
ULTOSC,0.01656992
EMA,0.016200045
MEDPRICE,0.015934337
MINUS_DM,0.0150629
MINUS_DI,0.014704066
MACDEXT_hist,0.014658378
TRANGE,0.014602278
MA,0.014547009
T3,0.0136810765
CMO,0.013510801
TRIX,0.013077634
HT_TRENDLINE,0.013037127
DX,0.012527087
BB_LOWER,0.012469364
CORREL,0.012437192
MACD_signal,0.012250691
MACD,0.012234418
STDDEV,0.012033474
MACDEXT_signal,0.012031952
STOCH_slowd,0.012023891
LINEARREG_SLOPE,0.011969723
STOCHF_fastd,0.011901638
FAMA,0.011702394
MACDFIX_hist,0.011682247
SAREXT,0.011630893
CCI,0.011437483
SAR,0.011433919
TRIMA,0.011257245
TEMA,0.011185483
VAR,0.011140865
MACDFIX,0.0111082895
MACDFIX_signal,0.011070896
Close,0.010820473
LINEARREG_ANGLE,0.010620468
TSF,0.010353328
HT_PHASOR_inphase,0.010225666
MACD_hist,0.010187206
AVGPRICE,0.010071417
AROON_down,0.010046079
HT_PHASOR_quadrature,0.010021546
PPO,0.009977072
BB_UPPER,0.00997487
MAVP,0.009959313
Low,0.009909736
APO,0.009878495
HT_SINE_leadsine,0.009861136
STOCHRSI_fastd,0.009815772
NATR,0.009678242
MIDPRICE,0.009672064
LINEARREG,0.009656563
ROC,0.009552565
DEMA,0.009473909
BETA,0.009463922
High,0.009313269
ATR,0.009153286
ROCR,0.009149093
WCLPRICE,0.00908942
AROONOSC,0.008891069
TYPPRICE,0.008864213
MAMA,0.008818481
MACDEXT,0.008808573
Open,0.008808015
MOM,0.008782494
PLUS_DM,0.008505014
WMA,0.008173046
AROON_up,0.008071027
HT_SINE_sine,0.0080544315
ROCP,0.008043398
HT_DCPERIOD,0.008040361
MIDPOINT,0.008030944
BB_MIDDLE,0.0077955513
KAMA,0.007764613
PATTERN_SUM,0.0076905414
LINEARREG_INTERCEPT,0.0069101965
PLUS_DI,0.0068379166
HT_DCPHASE,0.006088247
ADX,0.0057492624
ADXR,0.0049809627
ROCR100,0.0
HT_TRENDMODE,0.0
