,importance
Low,0.23323399
Open,0.14054482
Close,0.12621196
HT_DCPHASE,0.10762667
BB_LOWER,0.060901403
CCI,0.05935128
High,0.033311512
APO,0.032464888
CORREL,0.023005055
DX,0.018968921
MACDFIX,0.013777808
PLUS_DI,0.012485675
MACDEXT_hist,0.012083043
HT_PHASOR_inphase,0.010825493
MACD_hist,0.009653077
MACDFIX_hist,0.009340921
MACDEXT_signal,0.0051403814
MACD,0.004925765
CMO,0.004578038
PLUS_DM,0.0040763966
RSI,0.0037508756
BB_MIDDLE,0.003696721
TRANGE,0.0036636747
NATR,0.0035658802
STOCH_slowk,0.0035572245
AROON_down,0.003172761
ADXR,0.003064936
ROC,0.0030055204
MINUS_DM,0.0028977825
ADX,0.0028520096
STOCH_slowd,0.0027769376
HT_DCPERIOD,0.0027380127
ULTOSC,0.0025287177
MOM,0.0024272406
ATR,0.0023502987
WILLR,0.0022669497
HT_SINE_sine,0.0021626637
MACD_signal,0.0021597585
SAREXT,0.0021463963
STOCHF_fastk,0.0020965762
PPO,0.0019894026
MACDEXT,0.0019718532
BB_UPPER,0.0019316581
BOP,0.0017230711
STDDEV,0.0016097645
LINEARREG_ANGLE,0.0015995869
BETA,0.0015607108
VAR,0.0015511126
T3,0.0014424835
MIDPOINT,0.0013617236
MAMA,0.0013230062
DEMA,0.0013013378
ROCP,0.0012462704
STOCHF_fastd,0.0
AROON_up,0.0
AROONOSC,0.0
HT_TRENDMODE,0.0
MINUS_DI,0.0
STOCHRSI_fastd,0.0
STOCHRSI_fastk,0.0
TSF,0.0
TRIX,0.0
LINEARREG_SLOPE,0.0
TRIMA,0.0
EMA,0.0
HT_TRENDLINE,0.0
KAMA,0.0
MA,0.0
FAMA,0.0
MAVP,0.0
MIDPRICE,0.0
SAR,0.0
SMA,0.0
TEMA,0.0
WMA,0.0
LINEARREG_INTERCEPT,0.0
MACDFIX_signal,0.0
ROCR,0.0
ROCR100,0.0
HT_PHASOR_quadrature,0.0
HT_SINE_leadsine,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
LINEARREG,0.0
PATTERN_SUM,0.0
