,importance
ULTOSC,0.04820163
AROON_up,0.03308872
WILLR,0.024456007
STOCHF_fastk,0.023474354
LINEARREG,0.022306865
TRANGE,0.02128949
BOP,0.019227866
MOM,0.018108565
ROCR100,0.016511252
SMA,0.0158952
ROC,0.015485662
RSI,0.015096208
MACDFIX_hist,0.014868723
NATR,0.014641696
PLUS_DM,0.014584021
HT_TRENDMODE,0.014409375
AROON_down,0.014247466
ATR,0.013754155
LINEARREG_ANGLE,0.01374316
STOCHRSI_fastk,0.013542307
VAR,0.013465594
MINUS_DM,0.013194174
MACDEXT_signal,0.013103768
MINUS_DI,0.012764718
FAMA,0.012348543
AROONOSC,0.012303381
KAMA,0.011899148
Close,0.011872359
DEMA,0.011653229
TRIMA,0.011528989
BB_LOWER,0.011462133
CMO,0.011292823
T3,0.011278229
STDDEV,0.011243845
AVGPRICE,0.011208921
STOCH_slowd,0.010982979
MACD_hist,0.010923523
MA,0.01090192
BB_MIDDLE,0.010792389
MACD,0.010677154
HT_TRENDLINE,0.010499968
MACD_signal,0.0104884
CCI,0.010454383
MIDPRICE,0.010385525
DX,0.010290691
Open,0.0102061825
HT_DCPHASE,0.010195866
PLUS_DI,0.010181216
HT_PHASOR_inphase,0.010151154
ROCR,0.01006094
BETA,0.009907089
LINEARREG_INTERCEPT,0.009906421
EMA,0.009800815
SAR,0.009794689
Low,0.00978607
BB_UPPER,0.009654836
APO,0.009620877
ADX,0.009496442
STOCH_slowk,0.009379112
STOCHRSI_fastd,0.009367566
CORREL,0.009297409
High,0.0091236895
LINEARREG_SLOPE,0.00898884
SAREXT,0.008982635
MACDFIX,0.008967831
PPO,0.008894286
PATTERN_SUM,0.008872561
HT_SINE_leadsine,0.008846243
ADXR,0.008805774
HT_PHASOR_quadrature,0.008728734
HT_DCPERIOD,0.008502428
ROCP,0.0084575415
MEDPRICE,0.008307433
MACDEXT_hist,0.0077732294
STOCHF_fastd,0.0075721676
MACDEXT,0.00750794
TRIX,0.0073023764
HT_SINE_sine,0.0072043114
MACDFIX_signal,0.0071317647
MAMA,0.0070401626
MAVP,0.006967787
MIDPOINT,0.0052661137
TSF,0.0
TYPPRICE,0.0
WCLPRICE,0.0
WMA,0.0
TEMA,0.0
