,importance
LINEARREG,0.074089326
WCLPRICE,0.063752234
ULTOSC,0.050814096
TSF,0.042048946
MACD,0.035177927
BB_UPPER,0.029788336
WMA,0.028990325
EMA,0.026248844
TRIMA,0.026080938
TEMA,0.025861178
MAVP,0.025107587
BB_LOWER,0.024983283
BB_MIDDLE,0.024855994
LINEARREG_ANGLE,0.024139866
DEMA,0.02382399
T3,0.022117674
Close,0.022081349
ROCR,0.021154284
KAMA,0.01994137
MOM,0.01971595
MA,0.019129453
Open,0.01893907
Low,0.017259285
MACD_hist,0.0171761
MAMA,0.016841805
SAREXT,0.015751846
HT_DCPERIOD,0.015181347
HT_PHASOR_inphase,0.015127522
HT_TRENDLINE,0.014653436
STOCHF_fastd,0.014555992
HT_DCPHASE,0.012988874
STOCH_slowk,0.012835725
MACDFIX,0.012492288
APO,0.011868374
MACDFIX_hist,0.011608464
LINEARREG_SLOPE,0.011282802
CCI,0.011112338
MIDPRICE,0.010896552
ROCP,0.010251442
High,0.009834689
ROC,0.008298655
SAR,0.008120398
DX,0.0076136524
NATR,0.005833648
ADX,0.0056933663
FAMA,0.005443597
BETA,0.0045317938
LINEARREG_INTERCEPT,0.0045185867
PLUS_DI,0.0042839027
MINUS_DI,0.0038859453
MINUS_DM,0.00374165
AROONOSC,0.0032682132
HT_PHASOR_quadrature,0.0029131235
HT_SINE_sine,0.0028619727
MACDEXT_hist,0.0028119825
ADXR,0.0018042291
CMO,0.001770455
PLUS_DM,0.0017669811
AVGPRICE,0.0017406968
RSI,0.0016221849
STOCHF_fastk,0.0010854978
STOCHRSI_fastk,0.0008374777
STDDEV,0.0004836115
TRANGE,0.0004795095
TRIX,0.00039745372
VAR,0.0003907827
HT_TRENDMODE,0.0002781408
MACDFIX_signal,0.0002631574
MACD_signal,0.00023628175
WILLR,0.00022576094
ROCR100,0.00020959601
ATR,0.00019726573
TYPPRICE,0.00018591696
HT_SINE_leadsine,0.00018115813
BOP,0.00017930118
MEDPRICE,0.00017558667
STOCH_slowd,0.00017294442
MIDPOINT,0.0001698934
CORREL,0.0001643835
AROON_up,0.00015709313
STOCHRSI_fastd,0.0001548001
MACDEXT_signal,0.00015190395
AROON_down,0.00013643352
MACDEXT,0.0
SMA,0.0
PPO,0.0
PATTERN_SUM,0.0
