,importance
ULTOSC,0.1138188
AROON_up,0.08793581
AROON_down,0.07488979
PLUS_DI,0.06386815
TRANGE,0.062215567
STOCHF_fastk,0.05980483
WILLR,0.055073533
PLUS_DM,0.042284474
BB_UPPER,0.033966992
STDDEV,0.03364254
STOCHF_fastd,0.03230624
MINUS_DM,0.031825583
VAR,0.03139782
CCI,0.029834751
TRIMA,0.029477665
LINEARREG_ANGLE,0.027373135
SAREXT,0.0272796
LINEARREG_SLOPE,0.026703553
SAR,0.02250439
ATR,0.022406224
MOM,0.021525374
MACDFIX_signal,0.021500757
HT_PHASOR_inphase,0.011868335
BB_LOWER,0.009994955
MA,0.009265781
KAMA,0.008628944
MAMA,0.008606423
BETA,0.0
LINEARREG,0.0
TSF,0.0
WCLPRICE,0.0
LINEARREG_INTERCEPT,0.0
TYPPRICE,0.0
MEDPRICE,0.0
Open,0.0
ADX,0.0
ADXR,0.0
AROONOSC,0.0
CMO,0.0
HT_SINE_leadsine,0.0
DX,0.0
MINUS_DI,0.0
RSI,0.0
STOCH_slowk,0.0
STOCH_slowd,0.0
STOCHRSI_fastk,0.0
STOCHRSI_fastd,0.0
BOP,0.0
HT_TRENDMODE,0.0
CORREL,0.0
AVGPRICE,0.0
TRIX,0.0
HT_SINE_sine,0.0
MAVP,0.0
WMA,0.0
TEMA,0.0
T3,0.0
SMA,0.0
MIDPRICE,0.0
MIDPOINT,0.0
FAMA,0.0
MACD,0.0
HT_TRENDLINE,0.0
EMA,0.0
DEMA,0.0
BB_MIDDLE,0.0
Close,0.0
Low,0.0
APO,0.0
MACD_signal,0.0
HT_PHASOR_quadrature,0.0
ROCP,0.0
HT_DCPHASE,0.0
HT_DCPERIOD,0.0
NATR,0.0
High,0.0
ROCR100,0.0
ROCR,0.0
ROC,0.0
MACD_hist,0.0
PPO,0.0
MACDFIX_hist,0.0
MACDFIX,0.0
MACDEXT_hist,0.0
MACDEXT_signal,0.0
MACDEXT,0.0
PATTERN_SUM,0.0
