,importance
MOM,0.114406615
Close,0.109850034
MACD_hist,0.10980626
MACDFIX_hist,0.09240031
ROC,0.08887726
MACD,0.07594977
EMA,0.021326546
RSI,0.019604694
TYPPRICE,0.01866863
AVGPRICE,0.018668458
SAREXT,0.01826669
ROCP,0.017878652
STOCH_slowd,0.017515857
MACDEXT_hist,0.01736283
DEMA,0.016898975
T3,0.01672049
SMA,0.016008163
TRIMA,0.015953597
STOCHRSI_fastd,0.014366215
BB_MIDDLE,0.012974373
Open,0.012850161
STOCHF_fastd,0.012696903
HT_SINE_sine,0.012393261
MA,0.01218669
High,0.010961633
CMO,0.01003592
Low,0.0090470845
MEDPRICE,0.008395313
BB_UPPER,0.0075016804
KAMA,0.0071444702
HT_PHASOR_inphase,0.006039706
TEMA,0.004828769
PLUS_DI,0.004587508
TSF,0.0042361687
HT_DCPHASE,0.004029556
MINUS_DM,0.0038436188
HT_TRENDLINE,0.0035582306
HT_SINE_leadsine,0.0032167763
BETA,0.0030343975
ATR,0.0028095152
TRANGE,0.0027506591
NATR,0.0027028073
BOP,0.0023736635
PLUS_DM,0.0021593051
MIDPRICE,0.0016769905
MAVP,0.0016060561
LINEARREG,0.0014666541
VAR,0.001161495
BB_LOWER,0.0011326985
SAR,0.001070862
STDDEV,0.0010658563
MACDEXT,0.0010268933
LINEARREG_INTERCEPT,0.0010257375
PPO,0.00096708804
MACDFIX,0.0009114361
DX,0.0
AROONOSC,0.0
STOCHF_fastk,0.0
MINUS_DI,0.0
STOCH_slowk,0.0
AROON_down,0.0
STOCHRSI_fastk,0.0
ULTOSC,0.0
WILLR,0.0
HT_TRENDMODE,0.0
CORREL,0.0
AROON_up,0.0
TRIX,0.0
ADXR,0.0
MACDEXT_signal,0.0
MAMA,0.0
FAMA,0.0
MIDPOINT,0.0
WMA,0.0
APO,0.0
CCI,0.0
MACD_signal,0.0
MACDFIX_signal,0.0
ADX,0.0
ROCR,0.0
ROCR100,0.0
HT_DCPERIOD,0.0
HT_PHASOR_quadrature,0.0
WCLPRICE,0.0
LINEARREG_ANGLE,0.0
LINEARREG_SLOPE,0.0
PATTERN_SUM,0.0
