,importance
MACDFIX_hist,0.027732218
TRANGE,0.026365073
MACD_hist,0.026076617
MA,0.02400117
Volume,0.020885061
RSI,0.020334015
SAR,0.018372484
CCI,0.017885085
Previous Day Open Interest,0.016780403
HT_SINE_sine,0.016389929
EMA,0.015847886
TRIMA,0.015501325
Change,0.0141438525
HT_DCPHASE,0.013356945
MACDEXT_signal,0.013151533
APO,0.013062258
MACD_signal,0.012807134
SMA,0.012786487
LINEARREG_INTERCEPT,0.012684199
MIDPRICE,0.012684154
MINUS_DI,0.012610104
SAREXT,0.012507981
BB_MIDDLE,0.012227631
MAVP,0.012013834
MACDEXT_hist,0.01192681
AVGPRICE,0.011605612
STOCHRSI_fastd,0.01160018
MOM,0.011549533
AD,0.011503158
ATR,0.010997473
FAMA,0.010990779
ROCR,0.010571078
KAMA,0.010554156
VAR,0.010404312
ADXR,0.010276519
MACDFIX_signal,0.010251932
HT_PHASOR_inphase,0.0102176
ADOSC,0.010193391
LINEARREG_ANGLE,0.009883348
TRIX,0.0098515935
OBV,0.009782293
PLUS_DM,0.00952428
LINEARREG,0.009513475
BB_UPPER,0.0095009655
ADX,0.00942747
WILLR,0.00941024
LINEARREG_SLOPE,0.009376169
BB_LOWER,0.009343655
Low,0.009330504
MACD,0.009226245
BETA,0.009199232
High,0.009178756
HT_TRENDMODE,0.009172007
BOP,0.009098183
STDDEV,0.009031909
MACDFIX,0.00900266
PPO,0.008984683
HT_SINE_leadsine,0.008979288
MINUS_DM,0.00896824
HT_TRENDLINE,0.008867902
MACDEXT,0.008860206
AROONOSC,0.0087661315
TSF,0.0087575
Close,0.008663748
DX,0.00864504
ULTOSC,0.008615532
NATR,0.008611922
MEDPRICE,0.008591328
CORREL,0.008471056
WCLPRICE,0.008320009
ROC,0.00827572
PLUS_DI,0.008108504
WMA,0.00793182
ROCP,0.007892795
Open,0.007820775
HT_DCPERIOD,0.007562381
AROON_up,0.00754267
STOCHF_fastk,0.0074248263
Last,0.007355745
T3,0.007323221
MAMA,0.007302156
HT_PHASOR_quadrature,0.007123058
STOCH_slowk,0.007053382
CMO,0.0069561745
AROON_down,0.0068912124
MFI,0.0066740075
TEMA,0.0063916557
PATTERN_SUM,0.0060421624
STOCH_slowd,0.0058153477
MIDPOINT,0.0051792716
STOCHRSI_fastk,0.0050587445
DEMA,0.0042766286
STOCHF_fastd,0.0041921604
ROCR100,0.0
TYPPRICE,0.0
