Ticker_Symbol,xgbrfregressor_1,xgbrfregressor_2,xgbrfregressor_3,xgbrfregressor_4,xgbrfregressor_5,xgbregressor_gbtree_1,xgbregressor_gbtree_2,xgbregressor_gbtree_3,xgbregressor_gbtree_4,xgbregressor_gbtree_5,grnn_regression_1,grnn_regression_2,grnn_regression_3,grnn_regression_4,grnn_regression_5,conv1d_regression_1,conv1d_regression_2,conv1d_regression_3,conv1d_regression_4,conv1d_regression_5,lstm_regression_1,lstm_regression_2,lstm_regression_3,lstm_regression_4,lstm_regression_5,conv1d_lstm_regression_1,conv1d_lstm_regression_2,conv1d_lstm_regression_3,conv1d_lstm_regression_4,conv1d_lstm_regression_5,transformer_regression_1,transformer_regression_2,transformer_regression_3,transformer_regression_4,transformer_regression_5,xgbrfclassifier_1,xgbrfclassifier_2,xgbrfclassifier_3,xgbrfclassifier_4,xgbrfclassifier_5,xgbclassifier_gbtree_1,xgbclassifier_gbtree_2,xgbclassifier_gbtree_3,xgbclassifier_gbtree_4,xgbclassifier_gbtree_5,grnn_classification_1,grnn_classification_2,grnn_classification_3,grnn_classification_4,grnn_classification_5,conv1d_classification_1,conv1d_classification_2,conv1d_classification_3,conv1d_classification_4,conv1d_classification_5,lstm_classification_1,lstm_classification_2,lstm_classification_3,lstm_classification_4,lstm_classification_5,conv1d_lstm_classification_1,conv1d_lstm_classification_2,conv1d_lstm_classification_3,conv1d_lstm_classification_4,conv1d_lstm_classification_5,transformer_classification_1,transformer_classification_2,transformer_classification_3,transformer_classification_4,transformer_classification_5
AUDSGD=X,49.16198579842238,49.16198579842238,49.13473330406213,49.09385456252176,49.06660206816152,50.701751729776376,50.47010552771427,50.40197429181366,50.26571182001241,50.21120683129192,69.29133733113606,60.82001876831055,57.35294198989868,52.92712020874024,52.37037150065104,59.96503448486328,59.25877189636231,56.215932846069336,55.04334831237793,53.22085952758789,76.0,63.78274345397949,56.64521217346192,54.482547760009766,54.08638000488281,74.609375,74.0234375,63.19169998168945,57.50315475463867,53.88399505615234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDUSD=X,49.93111175036715,49.93111175036715,49.87206467925328,49.87206467925328,49.83269996517737,50.97427667337886,50.71840603188542,50.42317067631606,50.12793532074672,50.009841178518975,82.78388507549579,82.10784565318714,81.6849834735577,77.20588235294117,56.57142893473307,58.463396072387695,57.0574696858724,56.96296361287435,56.58823623657226,56.06669108072917,58.89328002929688,58.678802490234375,57.68541717529297,56.53064092000326,56.43411000569662,56.97191874186198,56.05532964070638,54.92063649495443,54.872362772623696,54.81548182169596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDT=X,50.57911550515526,50.57911550515526,50.57911550515526,50.57457342276189,50.5382367636149,50.451937198140776,50.370179715060026,50.33384305591303,50.2339172432588,50.18395433693167,69.44444444444444,65.39855035146077,65.28460311889648,65.23297500610352,65.0310173034668,76.953125,66.66666666666667,64.47368621826172,63.80706977844238,63.5294132232666,58.80445671081543,58.7301607131958,58.28051376342773,57.87356185913086,55.31822109222412,70.34120686848958,53.67647218704224,53.495618184407554,53.11554794311523,52.26449235280355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD=X,47.982558403609445,47.79633302548108,47.79633302548108,47.79633302548108,47.36180714318158,54.37629638601644,52.948568487032354,52.886493360989576,51.89329134430498,51.64499084013384,77.89855003356934,76.47058823529412,71.14175251552037,61.75585403442383,58.61991060697115,66.35375595092773,59.09756088256836,58.83706283569336,58.78590965270996,58.7792485555013,76.41128921508789,63.988094329833984,59.052223205566406,58.382062911987305,57.20779514312744,73.828125,62.46719551086426,58.9682559967041,58.0952402750651,57.714288075764976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHF=X,52.14007782101168,52.14007782101168,52.14007782101168,52.14007782101168,52.1067692167936,50.607882026979965,50.2914502869082,50.25814168269013,50.224833078472045,50.19152447425397,77.2260513305664,76.84210695539203,71.38009086022011,70.13888888888889,69.11764705882354,76.171875,60.6534792582194,57.55952453613281,55.72148513793945,54.29566526412964,60.74707412719727,60.69749450683594,55.65511512756348,54.84301452636719,54.582105000813804,59.9168586730957,56.2641658782959,53.82943210601807,53.12500095367432,52.70562744140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNY=X,48.80618934427471,48.80618934427471,48.77742282245,48.66235673515117,48.54729064785236,51.049978046601765,50.70477978470529,50.58971369740647,50.38834804463352,50.30204847915941,59.79689407348633,57.566139221191406,54.42039489746094,54.124860763549805,52.07885360717773,60.02656364440918,55.30863380432129,55.10336112976074,55.02856063842773,54.56078910827637,62.83110809326172,58.760483741760254,55.91467612130301,55.85064888000488,53.64705912272135,69.01041666666667,62.8125,57.95682716369629,57.64608001708984,56.9246826171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNYJPY=X,49.5526048842526,49.52535238989236,49.52081030749898,49.516268225105605,49.516268225105605,49.979560629229816,49.979560629229816,49.93868188768944,49.91597147572257,49.91142939332919,61.5625,59.10645457676479,57.851853688557945,53.75262069702149,52.88471930367606,63.125,61.5625,59.86286926269531,59.84496307373047,59.31264019012451,60.59543100992838,58.58843803405762,58.49184608459473,57.974138259887695,57.555169423421226,68.85040092468262,64.89885902404785,64.89385414123535,58.72703552246094,56.05532964070638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNYUSD=X,49.18015412799589,49.09385456252176,49.03632151887235,48.97878847522294,48.691123256975885,51.22257717755,51.193810655725294,51.13627761207589,50.791079350179416,50.6760132628806,66.71428642272949,60.10533650716146,59.20329475402832,58.82784153864934,56.05819969177246,56.75398063659668,55.90035057067871,54.73278999328613,53.77331066131592,53.49275302886963,64.90506172180176,58.738319396972656,55.93099021911621,55.5218448638916,55.18518664042155,55.16965293884277,54.357696533203125,54.357696533203125,54.084765116373696,53.81477355957031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,50.16835016835017,49.60718294051628,49.60718294051628,49.494949494949495,49.494949494949495,53.1986531986532,53.086419753086425,52.749719416386085,52.41301907968574,51.0662177328844,61.0714282989502,55.631277084350586,55.5555591583252,54.71910285949707,54.50819778442383,60.60606384277344,58.58585739135742,56.56565475463867,55.55555725097656,55.55555725097656,67.20779164632161,66.36363677978515,63.15789031982422,62.01923179626465,60.00920295715332,57.51020431518555,56.56565475463867,55.55555725097656,55.55555725097656,55.55555725097656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,50.10713192531375,50.10713192531375,50.01530456075911,49.95408631772268,49.92347719620447,50.84175084175085,50.84175084175085,50.68870523415978,50.68870523415978,50.68870523415978,62.41134770711263,59.91379165649414,56.593406677246094,54.38423792521159,53.240739822387695,61.61616516113281,57.57575607299805,56.4027156829834,54.54545593261719,54.54545593261719,63.54166793823242,62.5,62.47551727294922,60.41666793823242,59.5959587097168,57.86375045776367,56.56565475463867,56.56565475463867,55.55555725097656,53.809526443481445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
