,importance
TYPPRICE,0.043153778
EMA,0.029035335
HT_TRENDLINE,0.025462959
LINEARREG,0.018507857
Close,0.018388242
SAR,0.018141376
PLUS_DM,0.017792456
BB_UPPER,0.017673194
T3,0.017047256
High,0.016824268
MACDFIX,0.015890786
MACD_hist,0.015885998
TEMA,0.015707768
MINUS_DI,0.014976295
STOCH_slowd,0.014818402
STDDEV,0.013800217
BB_LOWER,0.0136054
Change,0.013594603
BB_MIDDLE,0.013039153
STOCH_slowk,0.012952423
PLUS_DI,0.012793675
CMO,0.012622991
KAMA,0.01235077
Low,0.012191238
TSF,0.011909566
ROC,0.011788022
LINEARREG_INTERCEPT,0.011699589
MACDFIX_signal,0.011575629
TRANGE,0.011510499
ATR,0.011333169
MACD_signal,0.011305122
STOCHF_fastk,0.011262826
CCI,0.011207675
AD,0.011114944
AROON_up,0.01096761
HT_TRENDMODE,0.010889231
HT_SINE_sine,0.01064956
EFP Volume,0.010546804
TRIMA,0.010545102
ADX,0.01053156
MOM,0.010486494
SAREXT,0.010466156
MACD,0.010445278
Open,0.010348407
MACDEXT_signal,0.010312419
MINUS_DM,0.010224613
NATR,0.0102058835
MACDEXT,0.010107461
BETA,0.010041132
LINEARREG_ANGLE,0.009882134
TRIX,0.00979428
HT_DCPERIOD,0.009770835
APO,0.00975657
Volume,0.009747029
ADOSC,0.009680387
HT_SINE_leadsine,0.009585272
EFS Volume,0.009574796
HT_PHASOR_inphase,0.009571866
STOCHRSI_fastk,0.009447451
Wave,0.009423703
MACDEXT_hist,0.009244682
BOP,0.009183485
HT_DCPHASE,0.009054724
OBV,0.009003465
Previous Day Open Interest,0.0089903325
MIDPOINT,0.008692842
STOCHRSI_fastd,0.008646643
HT_PHASOR_quadrature,0.008489396
DEMA,0.008480336
MACDFIX_hist,0.008475772
MAVP,0.008453972
AROON_down,0.008184328
MFI,0.008144195
CORREL,0.008060823
ULTOSC,0.008040303
scaled_NET_SENTIMENT,0.007982042
PATTERN_SUM,0.007853922
STOCHF_fastd,0.007726132
DX,0.007319531
WILLR,0.007236572
WMA,0.007013825
ADXR,0.0069100554
PPO,0.0068956194
AROONOSC,0.0063772025
MA,0.0063366685
MIDPRICE,0.005237537
scaled_UNCERTAINTY_MODAL,0.0
ROCR100,0.0
Block Volume,0.0
RSI,0.0
MAMA,0.0
FAMA,0.0
VAR,0.0
LINEARREG_SLOPE,0.0
SMA,0.0
WCLPRICE,0.0
MEDPRICE,0.0
AVGPRICE,0.0
ROCP,0.0
ROCR,0.0
scaled_REGULATORY_PRESSURE,0.0
