,importance
LINEARREG_INTERCEPT,0.032865956
FAMA,0.027114546
TRIMA,0.02609629
ROCR100,0.02557398
T3,0.020753114
MIDPOINT,0.019737234
BB_MIDDLE,0.017789476
MA,0.017520165
AROON_up,0.017189855
ROCP,0.016050404
MAMA,0.01535506
STDDEV,0.015076475
MOM,0.013873896
MACDEXT_signal,0.012575352
Wave,0.012471257
BETA,0.012365982
ADX,0.012099422
Volume,0.011978094
MACDFIX_hist,0.011956169
WMA,0.011905136
BB_LOWER,0.011773364
AD,0.011611424
AROON_down,0.011486193
MEDPRICE,0.011136819
STOCHF_fastk,0.011127585
SAREXT,0.01084481
MFI,0.010827425
High,0.010630532
MACDEXT_hist,0.010543749
OBV,0.010445009
CCI,0.010409615
LINEARREG,0.010388412
APO,0.010305921
TRIX,0.010231609
WCLPRICE,0.0102101695
Open,0.01018976
MINUS_DI,0.010120775
STOCH_slowk,0.009887319
MACD_hist,0.009850436
HT_SINE_sine,0.009763474
HT_PHASOR_quadrature,0.009755542
HT_SINE_leadsine,0.009542814
STOCH_slowd,0.0095400475
AVGPRICE,0.009503994
Close,0.009358705
BB_UPPER,0.009345536
TSF,0.009342717
AROONOSC,0.009224902
MINUS_DM,0.009189917
HT_PHASOR_inphase,0.009100811
HT_DCPERIOD,0.009095334
PLUS_DI,0.009094082
DEMA,0.009088393
ADOSC,0.008998826
PLUS_DM,0.008877617
ADXR,0.008851031
MACDEXT,0.008836377
MAVP,0.008813823
NATR,0.008809316
ROC,0.008692114
ULTOSC,0.008674862
WILLR,0.008618752
KAMA,0.008581025
BOP,0.008469211
PPO,0.008446828
Change,0.008441604
DX,0.008435119
SAR,0.008361391
STOCHRSI_fastd,0.008215586
Previous Day Open Interest,0.008126877
VAR,0.008088536
CORREL,0.008036245
CMO,0.008027556
TRANGE,0.007925812
STOCHRSI_fastk,0.007771947
ATR,0.0076662325
MACD_signal,0.007647041
HT_DCPHASE,0.007252396
LINEARREG_ANGLE,0.007106407
EFS Volume,0.007041132
Low,0.0070353565
HT_TRENDLINE,0.007020231
TYPPRICE,0.0068946513
EFP Volume,0.0068465723
PATTERN_SUM,0.0068371953
EMA,0.006788235
STOCHF_fastd,0.0066076536
MACDFIX_signal,0.0065953243
scaled_NET_SENTIMENT,0.0065311333
TEMA,0.0064587286
MACD,0.0060937516
LINEARREG_SLOPE,0.00593359
Block Volume,0.0051184543
scaled_UNCERTAINTY_MODAL,0.004583604
RSI,0.00452669
SMA,0.0
HT_TRENDMODE,0.0
MIDPRICE,0.0
MACDFIX,0.0
ROCR,0.0
scaled_REGULATORY_PRESSURE,0.0
