,importance
ULTOSC,0.05208678
LINEARREG,0.031810407
MINUS_DI,0.030326517
VAR,0.029613899
STDDEV,0.028366728
DX,0.02373983
TRANGE,0.023609092
TRIX,0.02276477
AROON_up,0.022598287
STOCH_slowd,0.021962587
AROON_down,0.021844363
BOP,0.021031156
HT_DCPHASE,0.020145852
PLUS_DM,0.01988117
RSI,0.018683152
HT_DCPERIOD,0.018425709
STOCHF_fastk,0.01825752
HT_TRENDLINE,0.017185891
TSF,0.016847478
STOCHRSI_fastk,0.016316358
ATR,0.01591905
MIDPRICE,0.015830941
MACDEXT_signal,0.01579714
MAVP,0.01571451
ROC,0.015672782
NATR,0.015473194
BB_UPPER,0.01540884
MOM,0.015090631
BB_LOWER,0.015090569
STOCH_slowk,0.015086135
SAREXT,0.01481143
LINEARREG_SLOPE,0.01460962
CCI,0.014408574
ROCP,0.01413021
BETA,0.013699065
MACD_signal,0.013694747
APO,0.013671484
CORREL,0.01348809
STOCHRSI_fastd,0.01328052
HT_PHASOR_quadrature,0.01308098
LINEARREG_ANGLE,0.012997294
MACDFIX_signal,0.012879206
CMO,0.0123334965
MACDEXT_hist,0.01229532
HT_SINE_sine,0.012164056
AROONOSC,0.012130007
SAR,0.01176437
PLUS_DI,0.011385618
ADX,0.011284666
ADXR,0.011065459
Open,0.01082002
MINUS_DM,0.010818751
KAMA,0.0106668705
MACD_hist,0.010623497
PPO,0.010520607
PATTERN_SUM,0.010471099
MACDFIX_hist,0.009721864
HT_TRENDMODE,0.009575169
HT_PHASOR_inphase,0.009181133
BB_MIDDLE,0.008923205
High,0.008922186
ROCR,0.0
FAMA,0.0
Low,0.0
AVGPRICE,0.0
Close,0.0
WILLR,0.0
DEMA,0.0
EMA,0.0
STOCHF_fastd,0.0
MEDPRICE,0.0
MA,0.0
MAMA,0.0
MIDPOINT,0.0
LINEARREG_INTERCEPT,0.0
SMA,0.0
T3,0.0
TEMA,0.0
HT_SINE_leadsine,0.0
WMA,0.0
MACD,0.0
TYPPRICE,0.0
MACDEXT,0.0
MACDFIX,0.0
WCLPRICE,0.0
ROCR100,0.0
TRIMA,0.0
