,importance
ULTOSC,0.06357544
AROON_down,0.034059227
AROON_up,0.03331283
LINEARREG_INTERCEPT,0.03043341
TRANGE,0.02790237
STOCHF_fastk,0.025432313
SAREXT,0.023894642
BB_MIDDLE,0.021439465
LINEARREG_ANGLE,0.02104445
PLUS_DM,0.019574229
RSI,0.019455774
MACDEXT_signal,0.01932484
High,0.01826393
CCI,0.018116847
AROONOSC,0.017577294
STOCHRSI_fastk,0.017554037
ADX,0.017266586
ATR,0.017195366
MACD,0.016397329
WILLR,0.016322454
HT_DCPHASE,0.016163148
MOM,0.016075617
MINUS_DI,0.015512987
Open,0.0148862135
MACD_hist,0.014421767
HT_TRENDLINE,0.014177366
CORREL,0.014139264
DX,0.013987298
BOP,0.013742168
MACDFIX_hist,0.013527393
CMO,0.013283109
PATTERN_SUM,0.013274834
KAMA,0.013138246
FAMA,0.012596987
ROCP,0.012549303
MAVP,0.012400347
APO,0.011958299
STDDEV,0.011684213
STOCH_slowk,0.01134427
HT_SINE_sine,0.01126838
HT_DCPERIOD,0.011267116
MINUS_DM,0.011252532
PLUS_DI,0.01114634
TRIX,0.0109031
MAMA,0.010897371
MACDFIX,0.010464619
ROC,0.010433669
STOCH_slowd,0.010407022
HT_SINE_leadsine,0.010184518
MACDEXT_hist,0.010078508
HT_PHASOR_quadrature,0.009984941
NATR,0.009865499
VAR,0.009681541
LINEARREG_SLOPE,0.009122465
WMA,0.008929906
Low,0.008538813
MA,0.008389558
HT_PHASOR_inphase,0.008271105
BB_UPPER,0.008211104
STOCHRSI_fastd,0.008199969
T3,0.00789245
BB_LOWER,0.007659703
MEDPRICE,0.00749179
BETA,0.007276932
ADXR,0.006907869
MIDPRICE,0.0064370353
PPO,0.0063857925
TRIMA,0.005444805
EMA,0.0
TEMA,0.0
HT_TRENDMODE,0.0
Close,0.0
AVGPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
DEMA,0.0
STOCHF_fastd,0.0
SAR,0.0
TSF,0.0
MACDFIX_signal,0.0
MACDEXT,0.0
MACD_signal,0.0
SMA,0.0
ROCR100,0.0
ROCR,0.0
MIDPOINT,0.0
LINEARREG,0.0
