,importance
PATTERN_SUM,0.023189317
AROON_down,0.02310078
AROON_up,0.02202962
MACD_hist,0.020231407
ULTOSC,0.020065477
BOP,0.019907687
NATR,0.019704368
BB_UPPER,0.018925741
ROCP,0.018182306
MACDEXT_signal,0.018096149
AROONOSC,0.017848723
STOCHF_fastk,0.017694475
PPO,0.017448464
ADX,0.017417591
TRIX,0.016753644
AVGPRICE,0.016453594
MOM,0.015833529
STOCHF_fastd,0.01579168
MACDFIX_hist,0.015361283
STDDEV,0.015158411
PLUS_DI,0.014892519
CORREL,0.014858762
MEDPRICE,0.014574537
VAR,0.014487664
Open,0.014381507
LINEARREG_ANGLE,0.013977017
PLUS_DM,0.013816264
High,0.013813575
APO,0.013790704
ATR,0.0136265075
TRANGE,0.01323687
Close,0.013176023
MACD,0.013168108
STOCHRSI_fastk,0.013031996
BB_LOWER,0.012849078
HT_SINE_leadsine,0.012790925
MACDFIX_signal,0.012755566
LINEARREG_INTERCEPT,0.012412815
STOCH_slowk,0.012380002
HT_PHASOR_quadrature,0.012367092
TSF,0.012316722
LINEARREG_SLOPE,0.012021836
DX,0.011948327
ROC,0.0118631935
MAVP,0.011552221
Low,0.011362782
CCI,0.011058433
CMO,0.010968965
HT_TRENDLINE,0.010730831
MACD_signal,0.010720518
MAMA,0.010608542
BETA,0.010498332
HT_SINE_sine,0.010495523
HT_PHASOR_inphase,0.010462212
MIDPRICE,0.010272522
DEMA,0.009764433
STOCHRSI_fastd,0.009661986
MACDEXT,0.009642893
ADXR,0.009454893
WILLR,0.009433239
MACDFIX,0.009244338
FAMA,0.009210672
STOCH_slowd,0.009062121
MACDEXT_hist,0.008966073
SAREXT,0.008688193
HT_DCPHASE,0.008680995
MINUS_DM,0.008562328
SMA,0.008515685
EMA,0.008493626
MINUS_DI,0.008320255
T3,0.008153098
BB_MIDDLE,0.0080749
SAR,0.007613269
HT_DCPERIOD,0.007566749
ROCR,0.0070004826
RSI,0.0069646854
MIDPOINT,0.0063032955
TRIMA,0.0061590145
MA,0.0
TEMA,0.0
WMA,0.0
WCLPRICE,0.0
LINEARREG,0.0
TYPPRICE,0.0
KAMA,0.0
HT_TRENDMODE,0.0
ROCR100,0.0
