,importance
STOCHF_fastk,0.12648478
Close,0.067665964
LINEARREG,0.05066088
ADXR,0.04861845
MACDFIX_hist,0.046366256
APO,0.034817792
HT_SINE_sine,0.034720443
BB_LOWER,0.032456726
EMA,0.031652424
ATR,0.031036414
T3,0.030679306
MACDEXT_signal,0.026345177
KAMA,0.023691125
LINEARREG_INTERCEPT,0.022907458
Open,0.02029061
TRIMA,0.020078259
MINUS_DM,0.01975864
HT_DCPERIOD,0.019608457
High,0.017988082
MACD,0.016102104
MAMA,0.015748417
DX,0.015028529
MACD_signal,0.014084951
PLUS_DI,0.013748286
BB_UPPER,0.01263173
LINEARREG_SLOPE,0.012371768
SAR,0.011525976
PLUS_DM,0.010507303
STOCH_slowd,0.009812628
HT_SINE_leadsine,0.00929122
SMA,0.008342069
MOM,0.008261261
ROC,0.008084474
MACDFIX_signal,0.007930895
CCI,0.00789128
LINEARREG_ANGLE,0.0075750607
HT_PHASOR_inphase,0.0074448576
ULTOSC,0.006768067
BETA,0.0062399628
MINUS_DI,0.0054683415
HT_TRENDLINE,0.0054228213
NATR,0.0053684176
CORREL,0.005350587
MACDEXT_hist,0.0049219867
HT_PHASOR_quadrature,0.0048742928
TRIX,0.0047045075
BOP,0.0045488696
TEMA,0.00432308
STDDEV,0.003916643
TRANGE,0.0038675228
FAMA,0.0037084443
ROCP,0.0034947337
MACD_hist,0.003351428
SAREXT,0.0032170191
DEMA,0.0029583916
MA,0.0024520976
CMO,0.0024012183
ADX,0.00234656
Low,0.002019532
MAVP,0.0012820625
HT_DCPHASE,0.0012803917
MACDFIX,0.001276934
AROONOSC,0.0011215038
BB_MIDDLE,0.0011044989
STOCHF_fastd,0.0
HT_TRENDMODE,0.0
WILLR,0.0
STOCHRSI_fastk,0.0
STOCHRSI_fastd,0.0
STOCH_slowk,0.0
RSI,0.0
MIDPRICE,0.0
MIDPOINT,0.0
AROON_up,0.0
AROON_down,0.0
ROCR100,0.0
VAR,0.0
TSF,0.0
WMA,0.0
MACDEXT,0.0
WCLPRICE,0.0
TYPPRICE,0.0
MEDPRICE,0.0
AVGPRICE,0.0
PPO,0.0
ROCR,0.0
PATTERN_SUM,0.0
