,importance
MAVP,0.04004359
VAR,0.03777741
TRANGE,0.026896076
PLUS_DM,0.026610063
ULTOSC,0.025363104
STDDEV,0.025185483
Open,0.022998758
ATR,0.02249649
MACD_hist,0.022162616
T3,0.022035353
LINEARREG_SLOPE,0.020945374
AROON_up,0.0201873
High,0.019584024
FAMA,0.01771492
STOCHF_fastk,0.016901528
STOCH_slowd,0.016654082
PLUS_DI,0.016324062
TEMA,0.01616955
LINEARREG_ANGLE,0.016053502
AROONOSC,0.015916092
APO,0.015258692
CORREL,0.015218113
MACDFIX_signal,0.015145648
STOCHRSI_fastd,0.015098762
DX,0.014768943
STOCH_slowk,0.014722249
SAREXT,0.014094529
MACDEXT_hist,0.013713395
HT_PHASOR_quadrature,0.012702054
BB_LOWER,0.012504976
HT_PHASOR_inphase,0.01228227
LINEARREG_INTERCEPT,0.012202579
SAR,0.011690728
BOP,0.011487377
MINUS_DM,0.011375742
Close,0.011219464
MEDPRICE,0.011183656
BETA,0.010977033
MACD,0.010967519
NATR,0.010841032
CMO,0.010783146
CCI,0.010745288
TRIMA,0.010720261
ROCP,0.010593389
HT_DCPERIOD,0.0105060255
ADX,0.010218091
HT_SINE_sine,0.010024384
PATTERN_SUM,0.009888464
LINEARREG,0.009681007
AROON_down,0.009621181
KAMA,0.0094595235
STOCHRSI_fastk,0.009365204
MIDPRICE,0.009260127
AVGPRICE,0.009250126
MA,0.009220079
DEMA,0.00916669
HT_SINE_leadsine,0.008959347
MACDEXT_signal,0.008861158
TRIX,0.008857106
Low,0.008745192
MOM,0.008578486
MACD_signal,0.008487209
HT_DCPHASE,0.008124977
MINUS_DI,0.008095794
SMA,0.0077007622
PPO,0.0076990793
MACDFIX,0.0074899704
MACDFIX_hist,0.007420756
ADXR,0.0073638884
BB_UPPER,0.006919239
BB_MIDDLE,0.0064809094
TYPPRICE,0.0062907366
EMA,0.005001078
HT_TRENDLINE,0.004947115
WMA,0.0
RSI,0.0
TSF,0.0
WCLPRICE,0.0
STOCHF_fastd,0.0
ROC,0.0
ROCR,0.0
MAMA,0.0
WILLR,0.0
MIDPOINT,0.0
HT_TRENDMODE,0.0
MACDEXT,0.0
ROCR100,0.0
