,importance
CCI,0.13867256
STOCHRSI_fastd,0.12650579
ATR,0.11425193
High,0.10914128
TYPPRICE,0.085744455
AVGPRICE,0.08088749
BB_LOWER,0.041343287
ROC,0.037583977
MINUS_DI,0.028070163
MINUS_DM,0.024300901
STOCHRSI_fastk,0.020929717
TSF,0.020248134
Low,0.020072699
Open,0.017922325
Close,0.0124838315
MIDPRICE,0.0107570635
MAVP,0.010273882
ADXR,0.010151779
STOCHF_fastk,0.00978166
DEMA,0.009710746
CMO,0.008858317
ROCP,0.006202483
BOP,0.0060201846
STOCH_slowk,0.0047727968
CORREL,0.0044973283
STOCHF_fastd,0.00448013
STOCH_slowd,0.0038329274
MAMA,0.0032549119
EMA,0.0031728693
MOM,0.0027207844
MACDFIX_hist,0.0026066331
HT_PHASOR_quadrature,0.002207017
HT_DCPHASE,0.0019657253
TRANGE,0.001911266
MACD_hist,0.0018729657
ADX,0.001808073
TEMA,0.0017449955
MACDEXT_hist,0.0016543568
BETA,0.0016320297
STDDEV,0.0016145143
ULTOSC,0.0014774313
WILLR,0.0014710423
TRIX,0.0013876244
ROCR100,0.0
ROCR,0.0
AROON_down,0.0
AROON_up,0.0
AROONOSC,0.0
TRIMA,0.0
DX,0.0
T3,0.0
PLUS_DI,0.0
RSI,0.0
SMA,0.0
SAREXT,0.0
SAR,0.0
MIDPOINT,0.0
FAMA,0.0
MA,0.0
KAMA,0.0
HT_TRENDLINE,0.0
BB_MIDDLE,0.0
HT_TRENDMODE,0.0
BB_UPPER,0.0
WMA,0.0
APO,0.0
VAR,0.0
MACDFIX,0.0
NATR,0.0
PPO,0.0
HT_DCPERIOD,0.0
PLUS_DM,0.0
HT_PHASOR_inphase,0.0
MACDFIX_signal,0.0
HT_SINE_sine,0.0
HT_SINE_leadsine,0.0
MEDPRICE,0.0
MACD,0.0
MACDEXT_signal,0.0
WCLPRICE,0.0
MACDEXT,0.0
LINEARREG,0.0
LINEARREG_ANGLE,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG_SLOPE,0.0
MACD_signal,0.0
PATTERN_SUM,0.0
