,importance
BB_MIDDLE,0.04803892
STOCH_slowd,0.044150073
MOM,0.03481074
BOP,0.03021708
RSI,0.025389915
STOCHF_fastk,0.024971494
MACDEXT_hist,0.020748572
STOCH_slowk,0.020242333
KAMA,0.020025928
DEMA,0.0196812
SAREXT,0.019674085
LINEARREG,0.018620633
HT_DCPERIOD,0.017363103
TRANGE,0.016826432
AROONOSC,0.016695665
MACD_hist,0.016640535
NATR,0.015693685
STDDEV,0.015659317
BB_UPPER,0.015645122
ROC,0.0154952165
MINUS_DI,0.0153870545
EMA,0.015376965
CMO,0.01529945
TYPPRICE,0.015107958
VAR,0.014763142
STOCHRSI_fastd,0.014678984
ADX,0.0143977925
AVGPRICE,0.014171796
ATR,0.014109741
HT_PHASOR_inphase,0.01381514
HT_PHASOR_quadrature,0.013623289
PLUS_DM,0.013582272
CCI,0.013517266
CORREL,0.013449832
HT_SINE_leadsine,0.0132926935
ADXR,0.0132153705
AROON_down,0.013189814
HT_DCPHASE,0.013079476
APO,0.012829147
MIDPOINT,0.012784753
AROON_up,0.012259079
STOCHRSI_fastk,0.011909392
ULTOSC,0.0115655335
Close,0.011341045
DX,0.011240164
High,0.011092123
WCLPRICE,0.011013782
LINEARREG_SLOPE,0.0107946545
MINUS_DM,0.010579596
TRIX,0.010434988
LINEARREG_ANGLE,0.009841978
Open,0.0093156425
TEMA,0.009278201
HT_SINE_sine,0.009267326
MAVP,0.00904715
TRIMA,0.008958655
MAMA,0.008510736
PLUS_DI,0.008274273
LINEARREG_INTERCEPT,0.008230313
MACD_signal,0.00806929
BETA,0.007735439
BB_LOWER,0.0076828883
MACD,0.0074720704
MACDFIX_hist,0.007255166
MIDPRICE,0.007153335
MACDEXT_signal,0.006741236
Low,0.006532803
PPO,0.006131299
HT_TRENDLINE,0.00600988
WILLR,0.0
MEDPRICE,0.0
MA,0.0
HT_TRENDMODE,0.0
STOCHF_fastd,0.0
FAMA,0.0
ROCP,0.0
T3,0.0
SAR,0.0
SMA,0.0
ROCR,0.0
ROCR100,0.0
WMA,0.0
MACDEXT,0.0
TSF,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
PATTERN_SUM,0.0
