,importance
MA,0.0413813
MACDFIX,0.029494645
Last,0.028034396
WCLPRICE,0.023831254
LINEARREG_INTERCEPT,0.022675484
MACDFIX_signal,0.022163764
BB_UPPER,0.021545393
MIDPRICE,0.021471132
RSI,0.018996017
Close,0.018375672
WILLR,0.01651754
CMO,0.015487032
LINEARREG_SLOPE,0.015099764
MAMA,0.014976037
SAR,0.014796736
AD,0.01473339
ATR,0.014428901
TRANGE,0.013508762
TRIX,0.013370507
PPO,0.012966945
Previous Day Open Interest,0.012714729
LINEARREG,0.012681759
MACD_hist,0.012659902
MAVP,0.012592229
AVGPRICE,0.012520912
AROON_down,0.012065537
SAREXT,0.0118821
PLUS_DI,0.011848193
OBV,0.011554501
HT_DCPERIOD,0.0112188235
STOCHRSI_fastd,0.011131989
Volume,0.011110951
Open,0.011105324
PLUS_DM,0.010872293
ADXR,0.01073805
ROC,0.010541846
NATR,0.010365795
STOCHF_fastk,0.0101962965
HT_PHASOR_quadrature,0.0101218885
MACD,0.010028516
MACD_signal,0.009957403
STDDEV,0.009885737
MACDEXT_signal,0.009865653
FAMA,0.009750121
MINUS_DI,0.009668656
HT_SINE_leadsine,0.009655515
Change,0.009641789
KAMA,0.009605494
MINUS_DM,0.009529586
MOM,0.009491489
AROON_up,0.00947888
ADOSC,0.009146031
CORREL,0.0091303205
BETA,0.008818333
ULTOSC,0.008666289
AROONOSC,0.008338495
MACDEXT_hist,0.008199675
MFI,0.008174528
MACDFIX_hist,0.008161521
LINEARREG_ANGLE,0.008126347
HT_DCPHASE,0.008082763
ADX,0.008041778
HT_TRENDMODE,0.007980582
Low,0.007975472
APO,0.0075815325
HT_TRENDLINE,0.0075649684
STOCHRSI_fastk,0.007500923
HT_SINE_sine,0.0074200807
MIDPOINT,0.007383299
DX,0.0071262373
HT_PHASOR_inphase,0.007111444
STOCH_slowk,0.0070474
CCI,0.006927558
MEDPRICE,0.0066441013
High,0.0065555265
BOP,0.006432921
BB_LOWER,0.0062869843
TRIMA,0.006250302
VAR,0.006155317
TEMA,0.0061179516
STOCH_slowd,0.0061096586
DEMA,0.0060964306
PATTERN_SUM,0.0060055847
STOCHF_fastd,0.005971027
TSF,0.005625311
BB_MIDDLE,0.004982654
T3,0.004459717
MACDEXT,0.0036948319
ROCP,0.003333672
TYPPRICE,0.0032841114
EMA,0.0031517048
SMA,0.0
WMA,0.0
ROCR100,0.0
ROCR,0.0
