,importance
AROON_up,0.03227932
TEMA,0.030040788
ULTOSC,0.029706512
TYPPRICE,0.025930699
LINEARREG,0.024617352
AVGPRICE,0.023310874
MAMA,0.020906873
TSF,0.020484805
AROON_down,0.019625131
ROCR100,0.019186916
T3,0.018131426
TRANGE,0.017941318
PLUS_DI,0.017885081
WMA,0.017823743
MIDPOINT,0.017737804
EMA,0.01648604
WILLR,0.015909232
STOCHF_fastk,0.015053274
MAVP,0.014347004
VAR,0.012687895
Close,0.012670507
Low,0.012135913
MIDPRICE,0.01211287
STOCH_slowd,0.011976446
LINEARREG_INTERCEPT,0.011849766
HT_TRENDLINE,0.011747669
CCI,0.0116944555
STOCHF_fastd,0.011674607
SMA,0.011536648
BB_LOWER,0.011527992
SAR,0.011446712
MEDPRICE,0.011238895
STOCHRSI_fastk,0.011165504
PLUS_DM,0.01108817
BB_UPPER,0.011067082
STDDEV,0.010804077
RSI,0.010791014
ROCP,0.010454931
Open,0.010222979
STOCH_slowk,0.010205373
BETA,0.010089322
PPO,0.009957208
DEMA,0.009840597
MINUS_DI,0.00974361
NATR,0.009677158
High,0.009645639
MACDFIX_hist,0.009603698
ATR,0.0091134
MACDFIX,0.009067116
MINUS_DM,0.009048756
WCLPRICE,0.008835006
CMO,0.008708162
KAMA,0.008670564
BB_MIDDLE,0.008644406
MACDEXT_signal,0.008609129
ROCR,0.008589442
MA,0.008541497
MACDFIX_signal,0.008289398
TRIMA,0.008150707
HT_DCPHASE,0.008013092
DX,0.007955945
ADX,0.007652457
ROC,0.0076072207
HT_SINE_sine,0.0075158356
SAREXT,0.0074369367
PATTERN_SUM,0.0074278666
APO,0.007421979
HT_TRENDMODE,0.007379203
HT_PHASOR_quadrature,0.0073432797
MACD_signal,0.0072908616
MACD_hist,0.007254094
MOM,0.0070560044
MACD,0.0069365636
FAMA,0.00684812
MACDEXT_hist,0.0068116374
HT_PHASOR_inphase,0.0066488627
LINEARREG_ANGLE,0.006534834
AROONOSC,0.0064671244
LINEARREG_SLOPE,0.00644344
ADXR,0.0064109047
HT_SINE_leadsine,0.006267258
HT_DCPERIOD,0.0060594194
BOP,0.0060403454
TRIX,0.00588265
STOCHRSI_fastd,0.005097815
CORREL,0.004994185
MACDEXT,0.0048734914
