,importance
ULTOSC,0.08270033
AROON_down,0.05323231
AROON_up,0.043477677
TSF,0.04344174
WILLR,0.03270089
STOCHF_fastk,0.031708382
TRANGE,0.026567994
TYPPRICE,0.02528094
AVGPRICE,0.022933051
MINUS_DI,0.021005586
MEDPRICE,0.018601945
STOCHF_fastd,0.016317228
CMO,0.015429197
LINEARREG,0.015168164
RSI,0.014983113
STOCH_slowk,0.014448523
PLUS_DI,0.014350436
STOCHRSI_fastk,0.01381624
MAVP,0.013143604
CCI,0.011240812
MINUS_DM,0.011134904
SAREXT,0.010791162
DX,0.010646285
PLUS_DM,0.010575102
SAR,0.010243515
LINEARREG_ANGLE,0.0102018695
MACDFIX,0.01008037
AROONOSC,0.009364146
ROCR100,0.009301775
NATR,0.009224327
BETA,0.009063324
VAR,0.008987219
BOP,0.008803066
ROCR,0.008768506
WMA,0.008765644
TEMA,0.008549571
MACDEXT_hist,0.008215824
STOCH_slowd,0.0082105985
HT_PHASOR_inphase,0.008150219
T3,0.0080670975
ATR,0.007989572
ROCP,0.007960493
LINEARREG_SLOPE,0.007897059
LINEARREG_INTERCEPT,0.007677831
HT_DCPHASE,0.007652778
PPO,0.0076318877
ROC,0.0076056267
STOCHRSI_fastd,0.0074256053
MACD_hist,0.0073993597
STDDEV,0.007339031
MACD,0.0073079295
HT_SINE_leadsine,0.007289009
MACDFIX_hist,0.007176845
SMA,0.007149414
CORREL,0.0070727332
MOM,0.0070712166
ADX,0.007013377
ADXR,0.0069413655
PATTERN_SUM,0.0069185975
MACDFIX_signal,0.0069162976
MIDPOINT,0.0067842444
MAMA,0.006781098
HT_PHASOR_quadrature,0.0067565623
HT_SINE_sine,0.006426638
MIDPRICE,0.0062609827
HT_DCPERIOD,0.0062122266
TRIX,0.0059944554
MA,0.005949784
EMA,0.005733948
MACDEXT_signal,0.005722281
DEMA,0.0056878733
HT_TRENDMODE,0.005465546
TRIMA,0.0053892783
FAMA,0.005365688
MACD_signal,0.005325881
MACDEXT,0.005264091
Close,0.00509051
KAMA,0.004803002
BB_LOWER,0.0044215336
BB_UPPER,0.0042268983
APO,0.0042251167
Low,0.0041356725
HT_TRENDLINE,0.003670243
BB_MIDDLE,0.0032244483
Open,0.0030077773
High,0.0022270728
WCLPRICE,0.0007183684
