,importance
ULTOSC,0.055862416
AROON_up,0.03573545
WILLR,0.026964528
MOM,0.026471362
STOCHF_fastk,0.02514441
TRANGE,0.024704816
MACDFIX_hist,0.022260778
ROC,0.02217541
BOP,0.020248756
MACDFIX,0.019976953
RSI,0.019786075
MEDPRICE,0.018986348
CMO,0.017228607
EMA,0.017036287
PLUS_DM,0.016147437
KAMA,0.015941856
LINEARREG_SLOPE,0.015919818
ATR,0.015650664
AROON_down,0.015586009
STDDEV,0.0152982045
NATR,0.015106442
HT_PHASOR_inphase,0.014957829
MINUS_DM,0.014659886
MINUS_DI,0.014543215
LINEARREG_ANGLE,0.014459047
WCLPRICE,0.014193262
VAR,0.013401752
STOCHRSI_fastk,0.013394338
MACDEXT_signal,0.013033812
MIDPRICE,0.0129398
AROONOSC,0.012691937
BB_LOWER,0.012662422
CCI,0.012652682
MACD_hist,0.012550067
HT_SINE_sine,0.012434434
ADX,0.012069691
PLUS_DI,0.01186572
STOCH_slowd,0.011445121
BB_UPPER,0.011434044
MACDFIX_signal,0.0106890565
PPO,0.01061808
DEMA,0.0104852365
BB_MIDDLE,0.010310486
HT_TRENDLINE,0.010116983
CORREL,0.010005354
High,0.009877204
ADXR,0.009774066
SAR,0.009602129
APO,0.009470055
HT_DCPERIOD,0.009411945
PATTERN_SUM,0.009305446
HT_PHASOR_quadrature,0.009235443
Open,0.008693214
MACD_signal,0.008544327
Close,0.008413201
TRIMA,0.008409689
BETA,0.008390956
STOCHF_fastd,0.008097982
ROCP,0.007970332
SAREXT,0.007953476
HT_SINE_leadsine,0.007766085
DX,0.007573415
MACD,0.0075537353
TRIX,0.0075056064
STOCH_slowk,0.0074698483
LINEARREG_INTERCEPT,0.0074227173
HT_DCPHASE,0.0073133847
MACDEXT_hist,0.0070628515
STOCHRSI_fastd,0.0070364596
Low,0.0069050165
TSF,0.006827936
MAVP,0.0065942993
MAMA,0.005718729
MA,0.004969284
HT_TRENDMODE,0.004915395
MACDEXT,0.0043688077
FAMA,0.0
AVGPRICE,0.0
MIDPOINT,0.0
SMA,0.0
T3,0.0
WMA,0.0
ROCR,0.0
ROCR100,0.0
LINEARREG,0.0
TYPPRICE,0.0
TEMA,0.0
