,importance
ULTOSC,0.04900864
AROON_down,0.030148417
AROON_up,0.027005589
WILLR,0.02283989
STOCHF_fastk,0.020642977
TRANGE,0.01890322
WMA,0.018852213
MINUS_DI,0.016384589
TYPPRICE,0.015980039
CCI,0.015543036
LINEARREG,0.015364817
RSI,0.014913114
HT_TRENDMODE,0.0147583075
MINUS_DM,0.014199768
PLUS_DI,0.013945367
FAMA,0.013880109
STOCHF_fastd,0.013261962
CMO,0.013243257
TSF,0.012902515
SAR,0.012559323
MIDPOINT,0.012476224
SAREXT,0.012250396
TRIMA,0.011581859
MAVP,0.011524819
MACDFIX,0.011403644
DX,0.011250914
KAMA,0.011002622
SMA,0.010822489
STOCH_slowk,0.010715507
HT_PHASOR_inphase,0.010651784
MA,0.010553888
ATR,0.0105197765
MEDPRICE,0.010428119
STOCHRSI_fastk,0.010288554
NATR,0.010262298
AVGPRICE,0.010240432
MACD,0.010198658
LINEARREG_SLOPE,0.010163115
MIDPRICE,0.010155354
VAR,0.010093973
T3,0.01003343
ADX,0.009968854
MACDFIX_hist,0.00983471
DEMA,0.009719297
TEMA,0.009705011
LINEARREG_ANGLE,0.009624089
STDDEV,0.009622757
PLUS_DM,0.009544117
ROCR,0.009541093
ROCR100,0.009461106
HT_SINE_sine,0.009411826
MOM,0.009194292
BETA,0.009191632
ROC,0.009171535
STOCHRSI_fastd,0.0091441125
MACDFIX_signal,0.00911098
MACDEXT_hist,0.009061257
BB_LOWER,0.008988491
HT_DCPERIOD,0.008951303
MACD_hist,0.008930373
LINEARREG_INTERCEPT,0.0088804215
ADXR,0.00876214
BB_UPPER,0.008747184
MACDEXT_signal,0.008599709
AROONOSC,0.008597408
MAMA,0.008582795
EMA,0.008443384
Low,0.008433673
MACD_signal,0.008340877
WCLPRICE,0.008333161
Open,0.008313543
HT_PHASOR_quadrature,0.008300572
PPO,0.008299514
STOCH_slowd,0.008272969
ROCP,0.008233552
High,0.008199425
Close,0.008169944
HT_DCPHASE,0.008081826
HT_TRENDLINE,0.008029382
MACDEXT,0.007960457
TRIX,0.007939021
CORREL,0.007919052
BOP,0.007831399
BB_MIDDLE,0.0076847677
HT_SINE_leadsine,0.0074459
PATTERN_SUM,0.0073133525
APO,0.0071527106
