,importance
TRANGE,0.04360787
ULTOSC,0.025253039
SAR,0.017719701
ADOSC,0.017649673
Previous Day Open Interest,0.01763301
Open,0.016099812
TRIMA,0.015625611
STOCH_slowk,0.015587385
STOCHF_fastd,0.015443091
AROON_down,0.0152518
MINUS_DI,0.014998839
RSI,0.014943884
AROON_up,0.014857573
High,0.014753863
Volume,0.013857889
PLUS_DM,0.013543351
AVGPRICE,0.013432434
Change,0.0130158
STDDEV,0.012951234
AD,0.012800581
FAMA,0.012557906
SAREXT,0.012082129
MACDEXT_signal,0.011884101
KAMA,0.011818756
MACD_signal,0.011772699
DEMA,0.011737745
MAMA,0.011577073
MAVP,0.011478392
MACDEXT,0.011337049
NATR,0.011214178
LINEARREG_INTERCEPT,0.011187533
MA,0.011139079
EFS Volume,0.011122355
MINUS_DM,0.011097415
VAR,0.010680647
AROONOSC,0.010485845
LINEARREG_ANGLE,0.010459504
scaled_NET_SENTIMENT,0.010447212
DX,0.010213962
Low,0.010151632
ROCP,0.010085635
LINEARREG,0.0100816395
MACDFIX_signal,0.010022989
ADX,0.009950115
TSF,0.00983516
MACD,0.009804442
OBV,0.00979557
Close,0.009771365
T3,0.009681477
EFP Volume,0.009640554
HT_PHASOR_inphase,0.009596231
HT_TRENDLINE,0.0095327655
CMO,0.009510889
ATR,0.009474828
MIDPOINT,0.009359272
WMA,0.009338966
PATTERN_SUM,0.00927428
MACDFIX_hist,0.009106774
STOCHRSI_fastd,0.008968438
ADXR,0.008860944
BB_MIDDLE,0.0088345045
BETA,0.008718823
TYPPRICE,0.008656257
CORREL,0.008622236
MOM,0.008486445
PLUS_DI,0.008320681
EMA,0.008228447
BOP,0.008122036
MFI,0.008119586
Block Volume,0.008098391
APO,0.008044573
HT_PHASOR_quadrature,0.0080289785
ROC,0.008008842
HT_SINE_sine,0.007917859
BB_UPPER,0.007895645
MACD_hist,0.007882251
STOCHF_fastk,0.0078163985
MACDEXT_hist,0.0077564507
MIDPRICE,0.007738753
STOCH_slowd,0.0077369236
HT_SINE_leadsine,0.007571892
BB_LOWER,0.007539692
STOCHRSI_fastk,0.007159125
Wave,0.0070190937
LINEARREG_SLOPE,0.006958559
TEMA,0.0068678246
MACDFIX,0.0068665543
HT_DCPHASE,0.0063975826
CCI,0.0062253363
TRIX,0.0058433083
scaled_REGULATORY_PRESSURE,0.005813458
HT_DCPERIOD,0.0054889997
PPO,0.0020505127
WCLPRICE,0.0
MEDPRICE,0.0
WILLR,0.0
ROCR100,0.0
HT_TRENDMODE,0.0
ROCR,0.0
SMA,0.0
scaled_UNCERTAINTY_MODAL,0.0
