,importance
ULTOSC,0.049670503
AROON_up,0.03788171
AROON_down,0.034569565
WMA,0.023826584
LINEARREG_INTERCEPT,0.023095148
WILLR,0.02281357
STOCHF_fastk,0.021995734
TEMA,0.02083055
TRANGE,0.020538444
CCI,0.01763839
ROCR,0.016553083
STOCHRSI_fastk,0.016420944
MIDPOINT,0.016200265
CMO,0.01575768
RSI,0.015391154
PLUS_DI,0.015337617
VAR,0.014309392
MOM,0.014171171
ROCR100,0.014097241
MINUS_DI,0.013753789
TRIMA,0.013636952
ROCP,0.013419728
TSF,0.013359544
ROC,0.012600013
MINUS_DM,0.012414435
High,0.0121797435
MIDPRICE,0.012166044
PLUS_DM,0.011555113
Low,0.011431115
MACDFIX_signal,0.0111659495
MAMA,0.0111051155
STOCHF_fastd,0.011064259
DX,0.010973395
SAREXT,0.0109245265
Open,0.010922026
KAMA,0.010914145
MACD_signal,0.010834526
STOCH_slowk,0.010746955
SMA,0.010703903
LINEARREG_ANGLE,0.010508379
STDDEV,0.010370881
ATR,0.0103234295
AROONOSC,0.01016242
LINEARREG_SLOPE,0.010086421
CORREL,0.009564285
DEMA,0.009393782
MACDFIX_hist,0.009292569
NATR,0.009290334
T3,0.009261489
BETA,0.009155752
Close,0.0090141995
ADX,0.008976782
APO,0.008620423
MACD,0.008478161
MACDEXT_signal,0.008441318
MACDEXT_hist,0.008372004
BB_UPPER,0.008262248
MACD_hist,0.00822519
LINEARREG,0.008109052
STOCHRSI_fastd,0.007927303
MACDFIX,0.007865886
HT_DCPHASE,0.0077821566
PPO,0.0076360297
MACDEXT,0.0076024495
TRIX,0.0074856384
EMA,0.007385702
HT_PHASOR_inphase,0.0073722173
HT_DCPERIOD,0.0072244415
MAVP,0.0072089094
STOCH_slowd,0.0071522947
HT_SINE_sine,0.007139496
FAMA,0.0070797293
MA,0.0069332477
BB_MIDDLE,0.0068854652
HT_TRENDLINE,0.006736508
HT_PHASOR_quadrature,0.006685175
MEDPRICE,0.00645413
HT_SINE_leadsine,0.0064061577
BB_LOWER,0.0063267294
SAR,0.005720367
BOP,0.005475225
ADXR,0.005431497
PATTERN_SUM,0.0052505336
HT_TRENDMODE,0.003953636
AVGPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
