,importance
ULTOSC,0.05812898
AROON_down,0.04474559
AROON_up,0.039618663
MAMA,0.037679248
Low,0.034677796
STOCHF_fastk,0.03149235
TRANGE,0.027442474
ROC,0.024455953
MACDEXT_hist,0.023138959
LINEARREG_INTERCEPT,0.021390831
WILLR,0.020016657
MAVP,0.019561056
STOCH_slowk,0.018526277
DX,0.018227547
SAREXT,0.018112961
RSI,0.017712448
MACDEXT_signal,0.017631605
LINEARREG_ANGLE,0.017350052
MOM,0.017096158
Close,0.017081514
STOCH_slowd,0.016991397
Open,0.016600056
MACDFIX_hist,0.016010001
MACDFIX,0.0148333805
CCI,0.014811643
High,0.014736439
KAMA,0.013839714
PLUS_DI,0.013650352
STOCHRSI_fastk,0.013639299
NATR,0.013486442
ADX,0.013219655
HT_DCPHASE,0.013045799
TEMA,0.013003876
BOP,0.012632422
ATR,0.012470596
SAR,0.012282418
STOCHRSI_fastd,0.012182573
STDDEV,0.011420484
PLUS_DM,0.011408336
CMO,0.010802498
LINEARREG_SLOPE,0.010688345
HT_PHASOR_inphase,0.010515589
CORREL,0.010386929
MINUS_DM,0.0103242155
APO,0.010249566
ADXR,0.010031483
MINUS_DI,0.009990516
MACD,0.009502289
HT_PHASOR_quadrature,0.00916841
BB_UPPER,0.008625594
MACD_signal,0.008517541
MACDFIX_signal,0.0084252
MA,0.008323474
PPO,0.0079369005
DEMA,0.007792215
BB_LOWER,0.0074958643
TRIX,0.0073825996
HT_SINE_sine,0.007097655
BETA,0.006710303
HT_DCPERIOD,0.0066387947
EMA,0.006502999
HT_SINE_leadsine,0.006244641
MACD_hist,0.0060379514
WMA,0.0054718624
AROONOSC,0.0047845175
BB_MIDDLE,0.0
HT_TRENDMODE,0.0
HT_TRENDLINE,0.0
FAMA,0.0
MIDPOINT,0.0
TRIMA,0.0
MIDPRICE,0.0
STOCHF_fastd,0.0
SMA,0.0
T3,0.0
MACDEXT,0.0
LINEARREG,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
VAR,0.0
TSF,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
PATTERN_SUM,0.0
