,importance
ULTOSC,0.07363309
MACD,0.050501186
TRANGE,0.037616614
AROONOSC,0.032271884
VAR,0.031688802
HT_PHASOR_quadrature,0.031086812
AROON_down,0.03083674
SAREXT,0.030141134
AROON_up,0.02778447
CMO,0.023400167
TRIX,0.021713471
BB_UPPER,0.021670425
CCI,0.02081322
HT_DCPHASE,0.020141326
STOCHF_fastk,0.019782444
MACDFIX_signal,0.019343495
HT_SINE_sine,0.019256186
NATR,0.018881444
High,0.018738436
ADXR,0.0183711
BB_LOWER,0.01827022
STOCH_slowk,0.018002804
LINEARREG_INTERCEPT,0.01800087
MACDEXT_hist,0.01661874
HT_DCPERIOD,0.016195191
MACD_hist,0.015289374
STOCHRSI_fastk,0.0152352825
ROCP,0.015111153
PPO,0.014679355
LINEARREG_ANGLE,0.014398155
HT_PHASOR_inphase,0.014258146
MOM,0.0139105655
ATR,0.013806474
APO,0.013765976
PLUS_DM,0.013715572
MIDPOINT,0.013410909
Open,0.013301488
STDDEV,0.013173678
DX,0.01301965
MA,0.012653372
MACDFIX,0.012220268
STOCH_slowd,0.012151434
WILLR,0.011549907
STOCHRSI_fastd,0.011459624
MACDEXT_signal,0.011430782
CORREL,0.011399897
DEMA,0.011212859
ROC,0.011162149
TRIMA,0.011080543
MINUS_DI,0.010969696
MIDPRICE,0.010882039
MINUS_DM,0.009991447
HT_SINE_leadsine,0.0
STOCHF_fastd,0.0
TEMA,0.0
PLUS_DI,0.0
RSI,0.0
WMA,0.0
MACD_signal,0.0
BB_MIDDLE,0.0
Close,0.0
EMA,0.0
MACDEXT,0.0
Low,0.0
ROCR100,0.0
BOP,0.0
HT_TRENDMODE,0.0
ROCR,0.0
T3,0.0
HT_TRENDLINE,0.0
AVGPRICE,0.0
MAVP,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
BETA,0.0
LINEARREG,0.0
SAR,0.0
LINEARREG_SLOPE,0.0
KAMA,0.0
MACDFIX_hist,0.0
TSF,0.0
FAMA,0.0
ADX,0.0
MAMA,0.0
SMA,0.0
PATTERN_SUM,0.0
