,importance
STOCHF_fastk,0.11389538
HT_DCPERIOD,0.06295491
Low,0.045922432
APO,0.041055243
ADXR,0.040432286
MACDFIX_hist,0.037437055
High,0.034907755
HT_DCPHASE,0.03392708
DEMA,0.030674642
MACDEXT_signal,0.029442964
T3,0.029157316
SAREXT,0.027949324
MACD_hist,0.027526027
PLUS_DI,0.026581913
AROON_up,0.026408898
SAR,0.025890123
Close,0.025883963
EMA,0.022904167
STDDEV,0.022762023
BB_LOWER,0.0209477
KAMA,0.019194633
ATR,0.016839692
BB_UPPER,0.016615663
TRANGE,0.014048323
ADX,0.014009153
HT_SINE_sine,0.013623988
Open,0.012900111
HT_TRENDLINE,0.012054459
MINUS_DM,0.010432923
SMA,0.009389992
LINEARREG_INTERCEPT,0.009364194
MACDEXT_hist,0.009308588
MINUS_DI,0.008499075
BETA,0.008160013
TRIX,0.00785116
ROC,0.007819542
ULTOSC,0.0070501077
BOP,0.006749445
LINEARREG_ANGLE,0.006282317
MACD,0.0055036894
AROON_down,0.005193398
MIDPOINT,0.004621007
LINEARREG_SLOPE,0.0045781224
HT_PHASOR_inphase,0.0042101215
STOCHRSI_fastk,0.0040659867
MACD_signal,0.004018043
NATR,0.0039530746
PLUS_DM,0.003931199
DX,0.0031898464
CCI,0.0029320037
HT_PHASOR_quadrature,0.0029114287
BB_MIDDLE,0.0024191202
MOM,0.0024175325
PPO,0.0023580191
MAMA,0.0021295066
VAR,0.0019113537
CMO,0.0014182227
STOCHRSI_fastd,0.0013837595
AROONOSC,0.0
WILLR,0.0
MA,0.0
RSI,0.0
STOCH_slowk,0.0
HT_TRENDMODE,0.0
STOCHF_fastd,0.0
FAMA,0.0
CORREL,0.0
STOCH_slowd,0.0
MACDFIX_signal,0.0
MAVP,0.0
TSF,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
MACDFIX,0.0
MACDEXT,0.0
WMA,0.0
HT_SINE_leadsine,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
TRIMA,0.0
LINEARREG,0.0
TEMA,0.0
MIDPRICE,0.0
PATTERN_SUM,0.0
