,importance
Close,0.034330554
BB_MIDDLE,0.028825674
WMA,0.025839359
AROON_down,0.02334559
AROON_up,0.02312379
MACDFIX_hist,0.02127827
ATR,0.02058304
AROONOSC,0.019522311
MAVP,0.019112015
EMA,0.018023223
TRIX,0.017934777
STOCH_slowk,0.01782972
MIDPRICE,0.017584495
PATTERN_SUM,0.01747685
MA,0.017042324
HT_DCPHASE,0.016909031
NATR,0.016572759
TRANGE,0.01618841
STOCHRSI_fastk,0.015849853
ULTOSC,0.015834473
LINEARREG_ANGLE,0.015579347
SAREXT,0.015561428
MACD_hist,0.015275003
BOP,0.014949655
PPO,0.014410028
STOCHRSI_fastd,0.013945982
BETA,0.0137610845
HT_SINE_sine,0.013697427
MACDEXT_hist,0.013596625
STOCHF_fastk,0.013525496
STDDEV,0.012703462
HT_PHASOR_inphase,0.012455675
PLUS_DM,0.011816133
Open,0.011565223
MEDPRICE,0.011509928
PLUS_DI,0.011457613
VAR,0.011319765
HT_SINE_leadsine,0.011294796
MAMA,0.011143137
MINUS_DI,0.0109435
DX,0.01087203
MINUS_DM,0.010752343
BB_LOWER,0.010695922
APO,0.01069307
KAMA,0.010632257
STOCH_slowd,0.010628157
ROCP,0.010516038
MACD,0.010473116
MOM,0.010461242
CCI,0.010426301
High,0.010314698
DEMA,0.010271032
LINEARREG_INTERCEPT,0.010185487
CMO,0.010131586
MACD_signal,0.009747272
FAMA,0.009526671
HT_PHASOR_quadrature,0.009378925
LINEARREG_SLOPE,0.0090880785
TRIMA,0.009025373
MACDEXT_signal,0.009015428
HT_TRENDLINE,0.008852804
ROC,0.008743033
Low,0.008507204
ADX,0.008424073
HT_DCPERIOD,0.008373876
TSF,0.00810984
AVGPRICE,0.0075261877
TEMA,0.0074940077
CORREL,0.0074485037
RSI,0.0072256248
SAR,0.007142774
BB_UPPER,0.007041009
MACDFIX,0.006770041
ADXR,0.0064413217
MACDEXT,0.0060286927
MACDFIX_signal,0.0058245063
WILLR,0.0053064404
STOCHF_fastd,0.0044081877
HT_TRENDMODE,0.0037789857
TYPPRICE,0.0
ROCR,0.0
ROCR100,0.0
T3,0.0
SMA,0.0
MIDPOINT,0.0
LINEARREG,0.0
WCLPRICE,0.0
