,importance
ULTOSC,0.33046472
High,0.08287461
WCLPRICE,0.06303957
MAVP,0.061226614
ROC,0.05054899
MACD,0.045112025
Low,0.044786908
Close,0.03638214
Open,0.033714328
NATR,0.028316708
MOM,0.025832046
BB_MIDDLE,0.024163123
MACD_hist,0.02330991
KAMA,0.02226919
PLUS_DM,0.017458457
MIDPRICE,0.016782168
BB_UPPER,0.010067552
CMO,0.009443161
LINEARREG_INTERCEPT,0.00848666
MINUS_DM,0.007894404
DX,0.0078843795
STOCH_slowk,0.0067399335
MINUS_DI,0.005702239
PLUS_DI,0.0053784964
ADX,0.0051685395
HT_PHASOR_quadrature,0.003924866
STOCHRSI_fastk,0.0035280788
MAMA,0.0027431233
TRANGE,0.0026058198
STOCHF_fastk,0.0024915927
MACD_signal,0.0023457413
BETA,0.0020958653
BB_LOWER,0.0020218957
STDDEV,0.00196345
BOP,0.001749003
WILLR,0.0014836834
LINEARREG_SLOPE,0.0
TSF,0.0
LINEARREG_ANGLE,0.0
LINEARREG,0.0
AROON_up,0.0
VAR,0.0
ADXR,0.0
AROON_down,0.0
AROONOSC,0.0
MEDPRICE,0.0
RSI,0.0
STOCH_slowd,0.0
STOCHF_fastd,0.0
STOCHRSI_fastd,0.0
CORREL,0.0
HT_TRENDMODE,0.0
TYPPRICE,0.0
TRIX,0.0
AVGPRICE,0.0
CCI,0.0
DEMA,0.0
EMA,0.0
HT_TRENDLINE,0.0
MA,0.0
FAMA,0.0
MIDPOINT,0.0
SAR,0.0
SAREXT,0.0
SMA,0.0
T3,0.0
TEMA,0.0
TRIMA,0.0
WMA,0.0
APO,0.0
MACDEXT,0.0
HT_SINE_leadsine,0.0
MACDEXT_signal,0.0
MACDEXT_hist,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
MACDFIX_hist,0.0
PPO,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
ATR,0.0
HT_DCPERIOD,0.0
HT_DCPHASE,0.0
HT_PHASOR_inphase,0.0
HT_SINE_sine,0.0
PATTERN_SUM,0.0
