,importance
ULTOSC,0.038195584
AROON_down,0.02462894
AROON_up,0.023165595
STOCHF_fastk,0.019461418
TRANGE,0.016952109
Close,0.016174356
ROCP,0.015550559
STOCHF_fastd,0.015020548
MACDFIX_hist,0.014067701
MACDFIX_signal,0.013875222
TEMA,0.01379853
MAVP,0.013709386
CCI,0.013188337
PATTERN_SUM,0.012988173
LINEARREG,0.0129543
MINUS_DI,0.012899163
STOCH_slowk,0.01284948
NATR,0.012775551
MACD_hist,0.012759804
PLUS_DM,0.012752634
PPO,0.012566135
MINUS_DM,0.012559187
RSI,0.0125490185
BB_MIDDLE,0.012496747
VAR,0.012320925
LINEARREG_INTERCEPT,0.012034261
AROONOSC,0.011961964
EMA,0.01195959
LINEARREG_ANGLE,0.01181593
BB_LOWER,0.011801818
MOM,0.011696614
STOCHRSI_fastk,0.011642716
AVGPRICE,0.011444251
WILLR,0.011397701
MACDEXT_signal,0.011396627
PLUS_DI,0.0113673685
BB_UPPER,0.011169191
DX,0.011142809
Open,0.011073662
TSF,0.011029818
MIDPOINT,0.01093956
ADXR,0.010920603
SAR,0.010891771
LINEARREG_SLOPE,0.010854063
WCLPRICE,0.010825169
Low,0.010822565
TRIX,0.010821413
ATR,0.0108110765
KAMA,0.010794464
MACD_signal,0.010719584
WMA,0.010707319
HT_PHASOR_inphase,0.010616271
BOP,0.010408178
ROC,0.010338992
High,0.010314376
SAREXT,0.010249877
CMO,0.01024847
MAMA,0.010162677
MEDPRICE,0.010000905
HT_TRENDLINE,0.009944772
BETA,0.009890754
HT_DCPHASE,0.009878746
STOCHRSI_fastd,0.009852208
APO,0.00984481
ADX,0.009777584
T3,0.009771186
MACD,0.009687239
FAMA,0.009573151
STDDEV,0.009464232
TRIMA,0.009436025
MACDEXT_hist,0.009401551
HT_SINE_sine,0.009332273
HT_PHASOR_quadrature,0.0092691835
HT_SINE_leadsine,0.009257133
CORREL,0.009228589
MACDFIX,0.009099147
HT_DCPERIOD,0.009016413
MACDEXT,0.008695024
DEMA,0.008679304
SMA,0.008282042
STOCH_slowd,0.0082448535
MIDPRICE,0.0077360314
ROCR,0.0073978268
MA,0.0073263166
HT_TRENDMODE,0.007272413
TYPPRICE,0.0
ROCR100,0.0
