,importance
MEDPRICE,0.03364427
HT_TRENDMODE,0.032736838
MA,0.031928446
FAMA,0.021155072
TRIMA,0.019688446
DEMA,0.0193301
WILLR,0.017770479
LINEARREG,0.017572578
MAVP,0.017307064
PLUS_DI,0.016425898
MIDPOINT,0.016018962
WMA,0.014644046
RSI,0.014333231
MIDPRICE,0.013964036
CMO,0.013703416
Last,0.013484729
TEMA,0.013457258
LINEARREG_SLOPE,0.013450776
LINEARREG_INTERCEPT,0.01316568
STDDEV,0.013135806
Previous Day Open Interest,0.013053756
Close,0.012926919
ROC,0.012569933
MACD_hist,0.0118777435
MINUS_DI,0.011840539
TRANGE,0.011511589
PLUS_DM,0.011290853
STOCHF_fastk,0.01112534
HT_PHASOR_quadrature,0.011038643
MACDFIX_signal,0.010963247
VAR,0.010835651
ADXR,0.010774075
Change,0.010752258
MAMA,0.010615952
OBV,0.0104879085
AD,0.010448834
KAMA,0.0104267625
Volume,0.010112334
BB_UPPER,0.010031838
STOCHRSI_fastd,0.010009976
ULTOSC,0.00989361
T3,0.009852362
MOM,0.009847553
HT_SINE_leadsine,0.009779878
NATR,0.009773626
MACD,0.009644928
ATR,0.009626876
MACDFIX_hist,0.0096176015
TRIX,0.00958922
MINUS_DM,0.009492607
STOCH_slowk,0.009395258
ADX,0.009350587
BETA,0.009343242
HT_SINE_sine,0.009325327
CORREL,0.009225295
AROON_down,0.009086661
AROON_up,0.009067213
DX,0.009063742
LINEARREG_ANGLE,0.009025203
TSF,0.008928697
AVGPRICE,0.008808479
SAREXT,0.008803851
MACD_signal,0.00861083
BOP,0.008489922
HT_PHASOR_inphase,0.008468338
STOCHRSI_fastk,0.00838196
STOCH_slowd,0.008368593
HT_DCPERIOD,0.008285278
HT_DCPHASE,0.008120858
CCI,0.008038687
AROONOSC,0.007852714
High,0.007729383
APO,0.0075874245
MACDEXT_signal,0.007461143
MFI,0.007254257
EMA,0.0071379887
MACDFIX,0.007100674
PPO,0.0070460667
MACDEXT_hist,0.006990609
HT_TRENDLINE,0.0069119157
Low,0.0068741245
STOCHF_fastd,0.006486567
BB_MIDDLE,0.00637554
SAR,0.0063169803
TYPPRICE,0.0060902094
BB_LOWER,0.0055248844
ADOSC,0.0054888795
Open,0.005238352
PATTERN_SUM,0.0048029106
ROCP,0.0040886025
WCLPRICE,0.0035011733
MACDEXT,0.0032220245
ROCR100,0.0
ROCR,0.0
SMA,0.0
