,importance
ULTOSC,0.05641514
MIDPRICE,0.044783432
AROON_down,0.039597802
EMA,0.03337512
Close,0.028383307
MINUS_DI,0.02754675
STOCHF_fastk,0.027188499
TRANGE,0.026694002
AROON_up,0.026168155
High,0.026149862
STOCHRSI_fastk,0.025883146
AVGPRICE,0.025454884
MEDPRICE,0.0251522
TYPPRICE,0.0251522
LINEARREG,0.025029894
WILLR,0.024859719
Open,0.024484864
TSF,0.022271102
TEMA,0.021432498
MAMA,0.021100236
ROC,0.020698735
Low,0.019786734
CCI,0.019442337
T3,0.019088944
PLUS_DM,0.018888045
KAMA,0.018649299
PLUS_DI,0.018514575
BB_UPPER,0.017255878
STOCHF_fastd,0.016954804
STOCH_slowd,0.016886344
MINUS_DM,0.016027557
HT_PHASOR_inphase,0.015650671
NATR,0.01434583
MACDEXT_hist,0.014008975
APO,0.013871371
MACD,0.013743177
LINEARREG_INTERCEPT,0.01359774
MIDPOINT,0.0124550145
STOCH_slowk,0.011436949
MOM,0.0102068875
VAR,0.010185623
STDDEV,0.010027564
ATR,0.009859491
BB_LOWER,0.008982597
CORREL,0.008793985
MA,0.0086956015
SAR,0.0077082533
BB_MIDDLE,0.0075417636
SAREXT,0.0073066535
MACD_signal,0.0072025014
ADXR,0.006296104
HT_TRENDLINE,0.0055126664
SMA,0.003254369
BOP,0.0
HT_TRENDMODE,0.0
RSI,0.0
AROONOSC,0.0
ADX,0.0
CMO,0.0
DX,0.0
STOCHRSI_fastd,0.0
TRIX,0.0
LINEARREG_SLOPE,0.0
MACDFIX_hist,0.0
DEMA,0.0
FAMA,0.0
MAVP,0.0
TRIMA,0.0
WMA,0.0
MACD_hist,0.0
MACDEXT,0.0
MACDEXT_signal,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
PPO,0.0
LINEARREG_ANGLE,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
HT_DCPERIOD,0.0
HT_DCPHASE,0.0
HT_PHASOR_quadrature,0.0
HT_SINE_sine,0.0
HT_SINE_leadsine,0.0
WCLPRICE,0.0
BETA,0.0
PATTERN_SUM,0.0
