,importance
STOCHF_fastd,0.034725714
AROON_down,0.032556783
ULTOSC,0.03190208
PPO,0.03184221
STOCH_slowk,0.028846636
AROON_up,0.024076445
MACDEXT,0.02022618
APO,0.020067535
TRANGE,0.019969402
STOCHF_fastk,0.018869052
WILLR,0.018314928
PATTERN_SUM,0.017418943
MACD,0.016240314
STOCHRSI_fastk,0.015661279
Open,0.014959377
FAMA,0.014549752
Low,0.014192449
ROCR100,0.014146115
ADX,0.013507456
SAREXT,0.013303216
MINUS_DI,0.0132484455
Close,0.013241097
EMA,0.01308243
DEMA,0.012835262
CCI,0.01276644
TEMA,0.012693595
PLUS_DI,0.012382776
RSI,0.012350188
MINUS_DM,0.011726238
MACD_signal,0.011637506
High,0.011535007
BB_UPPER,0.011443069
PLUS_DM,0.01122294
LINEARREG_ANGLE,0.010969344
LINEARREG_SLOPE,0.010925374
ATR,0.0108943805
MOM,0.010846584
BOP,0.010676232
HT_TRENDLINE,0.0105621535
AROONOSC,0.010509746
STOCH_slowd,0.010487591
HT_DCPERIOD,0.010294645
CMO,0.010125795
DX,0.010045869
SAR,0.009757873
BB_LOWER,0.009567405
CORREL,0.009335278
BB_MIDDLE,0.009324467
ROC,0.009268449
LINEARREG_INTERCEPT,0.009207951
VAR,0.0091860555
MACDEXT_signal,0.00917182
MA,0.009157274
LINEARREG,0.009141484
MACD_hist,0.00906153
MEDPRICE,0.0090514915
MACDFIX,0.00904509
MACDFIX_hist,0.008857721
MAMA,0.008768722
HT_SINE_sine,0.008620313
STDDEV,0.008582326
ROCP,0.008581393
NATR,0.008405998
MACDFIX_signal,0.008321694
HT_DCPHASE,0.008241258
KAMA,0.008080323
STOCHRSI_fastd,0.00805139
TRIX,0.007932677
MAVP,0.007848817
HT_PHASOR_inphase,0.007394819
ADXR,0.0069331336
MACDEXT_hist,0.0069188876
HT_PHASOR_quadrature,0.0068377717
TSF,0.006625765
ROCR,0.006552073
TRIMA,0.006549226
BETA,0.0065300385
MIDPOINT,0.006436429
T3,0.0060908673
HT_SINE_leadsine,0.0058225454
MIDPRICE,0.00568378
HT_TRENDMODE,0.004884787
SMA,0.0042924304
WCLPRICE,0.0
TYPPRICE,0.0
AVGPRICE,0.0
WMA,0.0
