,importance
ULTOSC,0.04224437
SMA,0.041778654
AROON_up,0.033090007
TRANGE,0.026767122
TSF,0.02522415
WILLR,0.024778731
LINEARREG,0.02406577
STOCHF_fastk,0.023187516
PLUS_DI,0.022372883
AROON_down,0.022217423
HT_DCPHASE,0.022161057
TEMA,0.021765918
Close,0.021448217
Open,0.021399269
MEDPRICE,0.02131319
CCI,0.020116972
Low,0.020057276
MINUS_DI,0.019932069
T3,0.019469487
AVGPRICE,0.01919568
TRIMA,0.019108398
MAVP,0.018870559
EMA,0.018731616
VAR,0.018343676
SAR,0.017794035
WMA,0.017430734
MAMA,0.017343527
BB_LOWER,0.017093627
SAREXT,0.016725993
BB_MIDDLE,0.016387485
BETA,0.016254064
DX,0.015771301
ADXR,0.015095878
ATR,0.014627441
ROCP,0.014609521
STOCH_slowk,0.013701523
LINEARREG_INTERCEPT,0.01297348
MACD_signal,0.012930226
ROCR,0.012729506
HT_PHASOR_inphase,0.012640151
PLUS_DM,0.012594806
MOM,0.012507496
MACDEXT_signal,0.011575412
RSI,0.011246552
STOCHRSI_fastk,0.011237239
MA,0.010981275
HT_TRENDLINE,0.01050407
ROC,0.010499544
KAMA,0.010487242
High,0.009142019
MACDEXT_hist,0.008920245
MACDEXT,0.008040659
APO,0.007952257
MACD_hist,0.00785698
NATR,0.007839663
MACD,0.0074616782
TRIX,0.0064901453
BOP,0.006117268
AROONOSC,0.006047752
HT_PHASOR_quadrature,0.0057648513
LINEARREG_ANGLE,0.0026903432
ROCR100,0.002294032
WCLPRICE,0.0
STOCH_slowd,0.0
MIDPOINT,0.0
STOCHF_fastd,0.0
FAMA,0.0
DEMA,0.0
STOCHRSI_fastd,0.0
MACDFIX,0.0
BB_UPPER,0.0
HT_TRENDMODE,0.0
CORREL,0.0
MIDPRICE,0.0
MACDFIX_hist,0.0
MACDFIX_signal,0.0
TYPPRICE,0.0
MINUS_DM,0.0
CMO,0.0
PPO,0.0
HT_DCPERIOD,0.0
ADX,0.0
HT_SINE_sine,0.0
STDDEV,0.0
LINEARREG_SLOPE,0.0
HT_SINE_leadsine,0.0
PATTERN_SUM,0.0
