,importance
BB_UPPER,0.032415874
EMA,0.0322442
MACDFIX_signal,0.026133282
MAMA,0.026120039
CORREL,0.023122422
MACDEXT_signal,0.023042144
HT_SINE_sine,0.022514816
TEMA,0.019326935
MOM,0.01840705
STOCH_slowk,0.018104933
BB_MIDDLE,0.018062577
MAVP,0.017648982
STOCHF_fastd,0.01757872
WMA,0.017555574
SAREXT,0.017316142
PPO,0.017056987
CMO,0.016988434
MA,0.01667809
HT_PHASOR_inphase,0.016572481
Change,0.016125308
HT_SINE_leadsine,0.015939247
RSI,0.015868729
HT_PHASOR_quadrature,0.01545254
MACDFIX,0.015326497
MACD,0.015326497
TRIMA,0.0153233735
HT_TRENDLINE,0.015306758
DX,0.015152973
MACDEXT_hist,0.014686894
LINEARREG_INTERCEPT,0.014389696
OBV,0.014011743
T3,0.013969799
MACDFIX_hist,0.013803755
MIDPRICE,0.013512665
MINUS_DM,0.013475697
ADXR,0.013139638
ROCR,0.012868045
MACD_signal,0.0123560745
Previous Day Open Interest,0.012132887
ROC,0.0119145345
HT_DCPHASE,0.011455015
ULTOSC,0.011405732
MACD_hist,0.011311057
AROON_down,0.011285535
VAR,0.010746983
ROCP,0.010633045
HT_DCPERIOD,0.010072376
Open,0.009862206
Volume,0.009292894
ADX,0.008836028
BOP,0.008671674
MFI,0.008602121
WILLR,0.0085861515
STDDEV,0.008504095
DEMA,0.008452877
ADOSC,0.008396548
STOCHF_fastk,0.008348268
TRIX,0.008210301
APO,0.008205554
Low,0.007781714
AD,0.007528162
BB_LOWER,0.007351007
PLUS_DM,0.0067314235
CCI,0.006667198
BETA,0.0065218406
NATR,0.006420935
TRANGE,0.006008557
AVGPRICE,0.005967913
PLUS_DI,0.0059671015
LINEARREG,0.0059172655
TYPPRICE,0.005854198
Last,0.005640699
LINEARREG_ANGLE,0.005250129
ATR,0.004697454
AROONOSC,0.0045647374
Close,0.0045520407
High,0.0045004
LINEARREG_SLOPE,0.003966552
SAR,0.0037414418
MACDEXT,0.0032954898
AROON_up,0.0032222746
STOCHRSI_fastk,0.0
MEDPRICE,0.0
HT_TRENDMODE,0.0
WCLPRICE,0.0
STOCHRSI_fastd,0.0
FAMA,0.0
KAMA,0.0
STOCH_slowd,0.0
MIDPOINT,0.0
TSF,0.0
MINUS_DI,0.0
SMA,0.0
ROCR100,0.0
PATTERN_SUM,0.0
