,importance
AROON_up,0.062418252
STOCHF_fastk,0.035767157
AROON_down,0.033484813
WILLR,0.030996555
PLUS_DM,0.02479646
ULTOSC,0.020122403
ATR,0.019871797
LINEARREG,0.01932549
WMA,0.017876577
RSI,0.017874228
MINUS_DI,0.01778884
MACDFIX,0.017399656
CMO,0.017285995
TRANGE,0.017076764
MIDPRICE,0.017071327
MIDPOINT,0.016639363
NATR,0.015918715
MACDEXT,0.015687235
FAMA,0.0151277585
STOCHRSI_fastk,0.015091528
SAR,0.014956812
T3,0.014956072
AVGPRICE,0.014711916
MACD,0.014308774
BOP,0.014184034
MEDPRICE,0.013873171
TEMA,0.01327363
Close,0.012902813
MAMA,0.012669554
STDDEV,0.011766881
LINEARREG_ANGLE,0.010457961
MACDFIX_signal,0.010369119
VAR,0.0103282705
CCI,0.010246797
EMA,0.0102389995
PLUS_DI,0.0101701105
MOM,0.009990524
MACD_signal,0.0098902965
TRIX,0.009858883
HT_DCPERIOD,0.009627779
ROCR,0.009507787
PPO,0.009029067
BB_MIDDLE,0.008795442
SAREXT,0.008640042
APO,0.0084671285
TSF,0.008455384
ROCP,0.008399358
LINEARREG_SLOPE,0.008387753
MAVP,0.008368305
DX,0.008351053
MACDFIX_hist,0.008234613
HT_PHASOR_quadrature,0.008181293
ROC,0.008124909
BB_LOWER,0.008073586
BB_UPPER,0.007834823
STOCHF_fastd,0.0077537466
DEMA,0.007683082
HT_PHASOR_inphase,0.007608136
MACD_hist,0.0074950904
STOCH_slowd,0.0074834884
TRIMA,0.007232088
TYPPRICE,0.007221404
MINUS_DM,0.0072032497
PATTERN_SUM,0.007034033
ADXR,0.0068728975
STOCHRSI_fastd,0.0068392972
SMA,0.0065029208
CORREL,0.0064484207
STOCH_slowk,0.006350539
ROCR100,0.0063153063
Open,0.0062069073
AROONOSC,0.006146009
MACDEXT_signal,0.0059736916
MACDEXT_hist,0.0059066685
Low,0.0058881626
HT_TRENDLINE,0.0057405145
ADX,0.0057029417
HT_SINE_leadsine,0.005499996
KAMA,0.005136057
HT_DCPHASE,0.005068926
HT_SINE_sine,0.005064482
BETA,0.0044463268
High,0.004440693
MA,0.004390369
LINEARREG_INTERCEPT,0.0030312743
HT_TRENDMODE,0.002059485
WCLPRICE,0.0
