,importance
MOM,0.06601766
ROCR100,0.04423348
ROCR,0.044080783
BB_UPPER,0.038112964
PLUS_DI,0.032364514
Close,0.031322856
ROC,0.031271935
STOCHRSI_fastd,0.028327344
FAMA,0.027974112
EMA,0.025962256
MEDPRICE,0.025775785
KAMA,0.025476601
PLUS_DM,0.023169626
ROCP,0.022630977
BB_LOWER,0.022607641
MACDFIX_signal,0.022072742
ADXR,0.021282125
DEMA,0.021253495
LINEARREG,0.021147747
BB_MIDDLE,0.020879516
MINUS_DI,0.019642793
HT_SINE_sine,0.019374663
BETA,0.01933613
HT_TRENDLINE,0.016134584
HT_DCPHASE,0.016003765
MACD_hist,0.015602491
SAR,0.015075344
APO,0.015011208
HT_SINE_leadsine,0.014530367
TRIX,0.013950814
MACDEXT_hist,0.013407455
Low,0.012830558
ULTOSC,0.012284995
ADX,0.011840769
AVGPRICE,0.011382389
SAREXT,0.011348228
Open,0.011316731
VAR,0.011314092
High,0.010998358
MACDEXT,0.010633847
HT_DCPERIOD,0.00985012
MA,0.009585599
CORREL,0.007381737
STDDEV,0.006649223
WILLR,0.0061196852
STOCHF_fastk,0.0059040333
MACD_signal,0.005667712
MACDEXT_signal,0.0049711685
RSI,0.004625633
CMO,0.004443396
CCI,0.004319633
MAMA,0.004049296
TRANGE,0.0035732316
STOCHRSI_fastk,0.003416255
MIDPRICE,0.003031366
MACD,0.0029330603
BOP,0.0027876743
MAVP,0.0027379366
TSF,0.0027209183
HT_PHASOR_quadrature,0.0026588135
T3,0.0023940024
ATR,0.0022759542
STOCH_slowd,0.0020018097
TYPPRICE,0.0019194267
TEMA,0.0016921351
LINEARREG_ANGLE,0.0016822757
AROON_up,0.0015952114
MINUS_DM,0.0015375357
MACDFIX_hist,0.001389432
PPO,0.0013460497
HT_PHASOR_inphase,0.0013021313
WCLPRICE,0.0011505574
AROONOSC,0.0010584731
NATR,0.00091703626
LINEARREG_SLOPE,0.00084336754
STOCHF_fastd,0.000759877
STOCH_slowk,0.0007244967
WMA,0.0
HT_TRENDMODE,0.0
MACDFIX,0.0
AROON_down,0.0
TRIMA,0.0
LINEARREG_INTERCEPT,0.0
MIDPOINT,0.0
DX,0.0
SMA,0.0
PATTERN_SUM,0.0
