,importance
ULTOSC,0.04510247
AROON_down,0.035058137
AROON_up,0.027809722
WILLR,0.020755801
STOCHF_fastk,0.020733878
TRANGE,0.019836022
MINUS_DI,0.017929357
MAVP,0.01706039
SAREXT,0.016963417
CMO,0.016036645
PLUS_DI,0.015626643
MACD_hist,0.014358917
CCI,0.014202584
AROONOSC,0.014171134
TSF,0.014113266
LINEARREG_SLOPE,0.014088542
LINEARREG,0.014065425
MAMA,0.013459543
MINUS_DM,0.013362523
MEDPRICE,0.013343794
ROCP,0.013005077
RSI,0.012604365
PLUS_DM,0.012377097
MACDFIX,0.012140067
VAR,0.011984496
MACDFIX_hist,0.011760894
ATR,0.011738855
AVGPRICE,0.011727388
STOCHRSI_fastd,0.011546109
LINEARREG_ANGLE,0.01128999
ROC,0.011250732
EMA,0.011214314
DEMA,0.011203542
STOCHRSI_fastk,0.011074998
BETA,0.010999191
FAMA,0.010884653
STDDEV,0.01074362
MOM,0.010726091
ROCR100,0.0107192965
MACD_signal,0.010581675
Open,0.010348017
LINEARREG_INTERCEPT,0.010314848
TEMA,0.010299322
BB_UPPER,0.010092878
STOCHF_fastd,0.01006474
APO,0.009958945
TRIX,0.009907388
MACDEXT,0.009873842
MACDFIX_signal,0.00982552
ROCR,0.009771392
MACD,0.009738509
STOCH_slowk,0.00972249
MIDPOINT,0.00970379
MACDEXT_hist,0.009681552
HT_PHASOR_inphase,0.0096707
PPO,0.009563859
CORREL,0.009498048
BB_MIDDLE,0.0094975345
Close,0.009472347
WMA,0.009350843
T3,0.008956993
KAMA,0.008902535
SAR,0.008877877
DX,0.008706771
NATR,0.008638099
ADX,0.008551369
TRIMA,0.008385815
HT_TRENDLINE,0.008205464
MIDPRICE,0.008197416
HT_SINE_leadsine,0.0081616
High,0.0080895685
HT_PHASOR_quadrature,0.0079801
HT_DCPHASE,0.007958978
MA,0.0075306804
MACDEXT_signal,0.0073524625
HT_SINE_sine,0.007316434
BB_LOWER,0.007264062
WCLPRICE,0.0069897748
STOCH_slowd,0.0069480515
HT_DCPERIOD,0.006897029
Low,0.006793087
BOP,0.0066089244
ADXR,0.006600359
SMA,0.006269723
PATTERN_SUM,0.0050650556
TYPPRICE,0.0047446294
HT_TRENDMODE,0.0
