,importance
ULTOSC,0.06261707
AROON_up,0.043648
AROON_down,0.029911822
MEDPRICE,0.026274169
EMA,0.023750242
STOCHF_fastk,0.022037892
TRANGE,0.021998568
PLUS_DI,0.021551985
WILLR,0.021517595
RSI,0.019899832
MAVP,0.019785183
HT_SINE_leadsine,0.019035924
BETA,0.018784737
NATR,0.017908452
ATR,0.015958967
CCI,0.015894996
CORREL,0.015839756
TRIX,0.015470539
ROCR,0.015388422
CMO,0.01529632
STOCHRSI_fastk,0.015109315
MACDFIX_signal,0.014676587
MACDEXT,0.014431049
AROONOSC,0.012969861
HT_TRENDLINE,0.012692892
PLUS_DM,0.012645738
MINUS_DI,0.012635851
ROC,0.012628132
ROCP,0.012104094
MACDEXT_signal,0.011997707
APO,0.011977205
DX,0.011839053
MACDFIX_hist,0.011783946
SAREXT,0.01168001
MOM,0.011560265
MACD_signal,0.0115271425
VAR,0.011485156
MINUS_DM,0.011399186
STOCHRSI_fastd,0.01132297
MACDFIX,0.011159914
BB_LOWER,0.011014006
STOCHF_fastd,0.010699639
HT_PHASOR_inphase,0.010576643
HT_DCPHASE,0.010557132
MACD,0.010333616
STOCH_slowk,0.010307942
LINEARREG_SLOPE,0.01023091
MACDEXT_hist,0.0098978225
STDDEV,0.009856838
BB_UPPER,0.009619266
MACD_hist,0.009593719
Close,0.009577852
Low,0.009339941
STOCH_slowd,0.008900661
Open,0.008801858
PATTERN_SUM,0.008773008
LINEARREG_ANGLE,0.0087156845
AVGPRICE,0.008537648
High,0.008537574
TRIMA,0.008437043
ADXR,0.008348536
LINEARREG_INTERCEPT,0.008225176
HT_PHASOR_quadrature,0.0077716894
BOP,0.007736862
MA,0.007116258
HT_DCPERIOD,0.0068783495
BB_MIDDLE,0.0067724176
SAR,0.0067002717
WMA,0.006268797
PPO,0.0061870897
KAMA,0.006081534
HT_SINE_sine,0.0059226337
ADX,0.0053913216
T3,0.004054803
ROCR100,0.004038875
SMA,0.0
TEMA,0.0
MIDPRICE,0.0
MIDPOINT,0.0
FAMA,0.0
MAMA,0.0
WCLPRICE,0.0
DEMA,0.0
LINEARREG,0.0
HT_TRENDMODE,0.0
TSF,0.0
TYPPRICE,0.0
