,importance
Close,0.08077967
MACD_hist,0.078652374
MOM,0.07313982
MACDFIX_hist,0.063874856
ROCP,0.056825344
HT_PHASOR_quadrature,0.017524034
TYPPRICE,0.016763188
AVGPRICE,0.016438643
ADX,0.016251927
STOCHF_fastk,0.015957523
STOCH_slowk,0.015582072
AROON_down,0.015471092
APO,0.015085539
TRIX,0.01503206
TRIMA,0.014507735
RSI,0.013532358
STOCHRSI_fastd,0.013138908
MINUS_DI,0.013100787
MACD_signal,0.013016349
MACDEXT,0.012711751
HT_DCPHASE,0.012693284
MINUS_DM,0.012495354
WMA,0.012472068
STOCHF_fastd,0.012391604
BB_MIDDLE,0.012208846
DEMA,0.012078418
HT_TRENDLINE,0.0117203565
BB_LOWER,0.011620392
ROC,0.01147637
MA,0.011284682
EMA,0.0112832105
CCI,0.011034334
T3,0.010716357
SMA,0.010714883
MIDPOINT,0.010485367
High,0.010437256
Open,0.010197386
MAVP,0.009421749
SAREXT,0.0091550555
SAR,0.009136893
FAMA,0.008899223
BB_UPPER,0.008851527
VAR,0.008620818
HT_PHASOR_inphase,0.008552914
KAMA,0.008462239
Low,0.008087476
MACDFIX,0.007826321
PLUS_DI,0.007664751
DX,0.0073006945
MACDEXT_signal,0.007164257
HT_SINE_sine,0.006871333
LINEARREG_INTERCEPT,0.006501552
CMO,0.006443378
AROONOSC,0.0063616163
PPO,0.0061310926
TRANGE,0.0060228985
CORREL,0.0058458596
STDDEV,0.0058039823
BETA,0.0056769936
STOCHRSI_fastk,0.0049118213
MEDPRICE,0.004771549
PLUS_DM,0.0047599273
TSF,0.0047068684
ATR,0.0046035415
MACD,0.004506227
LINEARREG,0.0042857677
HT_DCPERIOD,0.0042272434
NATR,0.0042264704
MIDPRICE,0.0036538295
ULTOSC,0.003598577
MACDEXT_hist,0.0031884373
ADXR,0.0027484745
HT_SINE_leadsine,0.002537618
ROCR,0.002498993
BOP,0.0022479782
TEMA,0.0010277859
HT_TRENDMODE,0.0
WILLR,0.0
MACDFIX_signal,0.0
LINEARREG_SLOPE,0.0
ROCR100,0.0
STOCH_slowd,0.0
MAMA,0.0
WCLPRICE,0.0
AROON_up,0.0
LINEARREG_ANGLE,0.0
PATTERN_SUM,0.0
