,importance
STOCHF_fastk,0.08932467
WILLR,0.08790039
ULTOSC,0.0610707
STOCHRSI_fastk,0.049500536
STOCH_slowd,0.044481628
AROON_up,0.038632624
BOP,0.033808965
MINUS_DI,0.032861006
MOM,0.032665584
TRANGE,0.024154922
ROC,0.023680001
STOCHF_fastd,0.023045504
HT_SINE_leadsine,0.022749543
CMO,0.022262126
STOCHRSI_fastd,0.021667747
STOCH_slowk,0.020891894
ADXR,0.02066651
HT_DCPHASE,0.019927861
AROONOSC,0.019192986
CCI,0.01853777
MINUS_DM,0.018171988
SAREXT,0.018089116
RSI,0.017539572
HT_PHASOR_inphase,0.016705541
MIDPOINT,0.0150010735
ADX,0.014105815
STDDEV,0.013829913
CORREL,0.013606501
Open,0.013456985
PLUS_DI,0.012179822
AROON_down,0.012086345
VAR,0.011475662
Close,0.010682388
HT_SINE_sine,0.010389946
PLUS_DM,0.008289736
MACDEXT_hist,0.0073581547
LINEARREG_SLOPE,0.0063837557
MACDFIX_hist,0.0063678
MACD_hist,0.0063678
MACDEXT,0.0063408026
MACD,0.006106752
DX,0.00565763
MACD_signal,0.005274979
MACDFIX,0.0049850834
HT_PHASOR_quadrature,0.004537489
APO,0.004407801
TRIX,0.0042430176
Low,0.0041122567
High,0.0037147922
EMA,0.0031211332
BB_UPPER,0.0030966497
T3,0.0026506549
BB_MIDDLE,0.0026400432
MAMA,0.0
SMA,0.0
SAR,0.0
MIDPRICE,0.0
MAVP,0.0
FAMA,0.0
HT_DCPERIOD,0.0
MA,0.0
KAMA,0.0
TEMA,0.0
DEMA,0.0
BB_LOWER,0.0
HT_TRENDMODE,0.0
HT_TRENDLINE,0.0
TRIMA,0.0
NATR,0.0
BETA,0.0
ATR,0.0
ROCR100,0.0
ROCR,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
LINEARREG,0.0
WMA,0.0
LINEARREG_ANGLE,0.0
LINEARREG_INTERCEPT,0.0
ROCP,0.0
PPO,0.0
TSF,0.0
MACDFIX_signal,0.0
MACDEXT_signal,0.0
PATTERN_SUM,0.0
