,importance
BOP,0.072294086
PATTERN_SUM,0.0593725
ULTOSC,0.03778942
ROC,0.027350487
MINUS_DM,0.025355188
TRANGE,0.024256455
AROON_up,0.023969779
SMA,0.023965789
KAMA,0.023874165
AROON_down,0.023006817
SAR,0.018173907
MAMA,0.017651455
HT_SINE_sine,0.017311113
PLUS_DM,0.015937028
Close,0.015830249
MINUS_DI,0.0153104365
ATR,0.01501223
MACDEXT_signal,0.014268249
MA,0.014239524
STOCHF_fastk,0.014211516
WILLR,0.014151128
Low,0.014064127
BB_LOWER,0.0135661
MACDFIX,0.013021468
MACD_signal,0.012691992
ADXR,0.012606351
MACDFIX_signal,0.012509577
CCI,0.012299976
BETA,0.012249642
High,0.012172199
SAREXT,0.012039712
APO,0.01191061
Open,0.011901437
HT_DCPERIOD,0.011876132
NATR,0.0117185945
LINEARREG_SLOPE,0.01127246
ADX,0.011160134
STOCHRSI_fastk,0.011123596
CMO,0.011080322
PLUS_DI,0.010908208
STOCH_slowk,0.010443109
LINEARREG,0.010271354
STDDEV,0.010159729
VAR,0.00960837
LINEARREG_ANGLE,0.009094184
MIDPRICE,0.008784482
STOCHRSI_fastd,0.008622373
MACD,0.008620927
MAVP,0.008123177
HT_SINE_leadsine,0.007836267
LINEARREG_INTERCEPT,0.007835108
CORREL,0.0078102765
HT_TRENDLINE,0.0076759066
EMA,0.007577465
MACDEXT_hist,0.0074747363
HT_PHASOR_inphase,0.007303131
AROONOSC,0.007266383
TEMA,0.0071626613
RSI,0.0071549015
MOM,0.0066987
FAMA,0.0066522094
BB_UPPER,0.0064446987
TYPPRICE,0.0064194947
TRIX,0.0062358514
MACDEXT,0.006212763
HT_DCPHASE,0.0058539556
STOCH_slowd,0.005424671
T3,0.0053628185
MACD_hist,0.0053238566
TRIMA,0.005184918
AVGPRICE,0.0051730606
DEMA,0.0051421747
HT_PHASOR_quadrature,0.0044886563
MACDFIX_hist,0.004395971
PPO,0.0041090474
DX,0.0040354473
ROCP,0.0024526042
BB_MIDDLE,0.0020603663
TSF,0.0
ROCR,0.0
STOCHF_fastd,0.0
ROCR100,0.0
WCLPRICE,0.0
WMA,0.0
MEDPRICE,0.0
HT_TRENDMODE,0.0
MIDPOINT,0.0
