,importance
ATR,0.060056947
WILLR,0.050471574
STOCHF_fastk,0.046573553
APO,0.042254988
PLUS_DM,0.039401166
CCI,0.038261473
PATTERN_SUM,0.032491513
STDDEV,0.029055338
Open,0.02615109
BETA,0.0227575
TRANGE,0.022654679
CORREL,0.022343624
VAR,0.021888444
LINEARREG_SLOPE,0.02177141
HT_SINE_leadsine,0.020723727
MACDFIX_hist,0.01976497
MACDEXT_signal,0.017625421
STOCHRSI_fastk,0.017552225
MOM,0.017487634
RSI,0.017268984
ADX,0.016985843
MIDPRICE,0.016255504
HT_DCPERIOD,0.015937373
PLUS_DI,0.0155919455
Low,0.015397357
STOCH_slowk,0.015092734
STOCH_slowd,0.014942733
CMO,0.014742028
TRIX,0.014421958
High,0.014235003
MINUS_DM,0.0141267
LINEARREG_ANGLE,0.013963595
NATR,0.013592749
MACD_hist,0.013276213
KAMA,0.013149753
ULTOSC,0.012411668
HT_DCPHASE,0.012023531
MACDEXT,0.011084846
EMA,0.011077541
MEDPRICE,0.010675702
Close,0.010510234
BB_MIDDLE,0.010169805
AROON_up,0.009730367
LINEARREG,0.00970289
HT_PHASOR_inphase,0.009531445
BOP,0.009490499
TEMA,0.009383897
ROC,0.009336577
SAREXT,0.008780629
MACDEXT_hist,0.0085809175
ADXR,0.008498751
STOCHF_fastd,0.007832967
AROON_down,0.0078001358
DX,0.0076494077
MACD,0.007460419
MIDPOINT,0.0
SAR,0.0
MAVP,0.0
STOCHRSI_fastd,0.0
FAMA,0.0
SMA,0.0
MINUS_DI,0.0
MAMA,0.0
T3,0.0
AROONOSC,0.0
HT_TRENDMODE,0.0
MA,0.0
BB_LOWER,0.0
BB_UPPER,0.0
TRIMA,0.0
TSF,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
MACDFIX_signal,0.0
MACDFIX,0.0
MACD_signal,0.0
HT_PHASOR_quadrature,0.0
HT_SINE_sine,0.0
AVGPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
DEMA,0.0
LINEARREG_INTERCEPT,0.0
WMA,0.0
PPO,0.0
HT_TRENDLINE,0.0
