,importance
STOCHF_fastd,0.043358214
AROON_down,0.0274299
VAR,0.026082851
ULTOSC,0.024991035
High,0.024173265
AROONOSC,0.023678595
LINEARREG,0.023264475
Open,0.019946152
AROON_up,0.01965758
STOCH_slowk,0.019444495
TRANGE,0.018562257
PPO,0.017948285
STOCHF_fastk,0.016956242
WILLR,0.016450077
MACDEXT,0.016064573
APO,0.015239877
ATR,0.014635279
MAVP,0.014558939
PATTERN_SUM,0.014420653
Low,0.01398258
RSI,0.013726579
MA,0.013429226
STOCHRSI_fastk,0.013384927
EMA,0.013191117
CCI,0.013070287
MACDFIX_hist,0.012886373
MACD,0.0126782525
ROC,0.012596198
Close,0.0124494815
SAREXT,0.012214353
MINUS_DI,0.011773298
CMO,0.011732185
CORREL,0.011674554
MINUS_DM,0.011615964
MOM,0.011574644
TRIMA,0.011384029
FAMA,0.011369104
WMA,0.011335466
MIDPRICE,0.010957796
DX,0.010915271
BB_LOWER,0.010910755
MACD_hist,0.010792874
KAMA,0.010770633
HT_PHASOR_quadrature,0.010757588
BB_MIDDLE,0.010670696
PLUS_DM,0.010608825
DEMA,0.010580723
STDDEV,0.010433369
HT_DCPERIOD,0.009948388
LINEARREG_ANGLE,0.009930614
ADX,0.009862537
STOCH_slowd,0.00964865
ADXR,0.009631452
TRIX,0.0096202055
TEMA,0.009587794
BOP,0.009480128
LINEARREG_SLOPE,0.009449251
PLUS_DI,0.009446657
BB_UPPER,0.009413854
MACDFIX,0.009375012
BETA,0.009021829
HT_SINE_leadsine,0.0089201415
MACDEXT_signal,0.008870604
HT_SINE_sine,0.008790678
ROCP,0.008789917
HT_PHASOR_inphase,0.008745744
NATR,0.008550913
LINEARREG_INTERCEPT,0.00817769
STOCHRSI_fastd,0.008119649
SAR,0.007906716
MACD_signal,0.007865272
MACDEXT_hist,0.0076393574
HT_DCPHASE,0.007483727
MACDFIX_signal,0.007447145
T3,0.007419686
HT_TRENDLINE,0.00733502
TSF,0.006905368
ROCR,0.006286126
HT_TRENDMODE,0.0
SMA,0.0
WCLPRICE,0.0
TYPPRICE,0.0
MEDPRICE,0.0
MAMA,0.0
MIDPOINT,0.0
ROCR100,0.0
AVGPRICE,0.0
