,importance
SMA,0.035743747
EMA,0.02887715
ULTOSC,0.025685474
AROON_up,0.024306633
TEMA,0.022477724
TSF,0.021776102
T3,0.018235713
TRANGE,0.017344275
STOCH_slowd,0.016938651
HT_SINE_leadsine,0.016859671
AROON_down,0.016458964
STOCHF_fastk,0.016076306
PLUS_DI,0.015730929
BETA,0.015447381
MAMA,0.015397108
ROCR,0.014762479
Close,0.01474268
APO,0.01463434
VAR,0.014549414
BB_UPPER,0.014471255
AROONOSC,0.013922977
MACD,0.013909968
KAMA,0.013625026
FAMA,0.013140669
DEMA,0.013136297
High,0.01296502
STOCHRSI_fastd,0.0129427
MA,0.012874157
Open,0.012805683
TYPPRICE,0.012366875
ATR,0.012259821
WILLR,0.012085213
CCI,0.012016079
SAR,0.011844647
ROC,0.011698335
NATR,0.011559359
BB_MIDDLE,0.011483164
STOCHRSI_fastk,0.011459893
ADXR,0.011297706
MACD_signal,0.011098963
HT_DCPHASE,0.010825674
CMO,0.010653865
LINEARREG,0.010562693
MIDPRICE,0.010463336
STOCH_slowk,0.010116647
Low,0.010030135
WMA,0.009949432
MINUS_DM,0.009876606
MOM,0.009850944
PPO,0.009845883
DX,0.009800233
LINEARREG_INTERCEPT,0.009729713
BB_LOWER,0.009660754
PLUS_DM,0.009657313
SAREXT,0.0095454445
ROCP,0.009512809
ADX,0.009449359
TRIMA,0.00918204
HT_SINE_sine,0.009080959
MEDPRICE,0.009060434
MACD_hist,0.009020315
BOP,0.008795639
HT_TRENDLINE,0.008756842
LINEARREG_SLOPE,0.008451301
LINEARREG_ANGLE,0.008407971
MACDFIX_hist,0.0082954755
STDDEV,0.008064002
MACDFIX,0.007997855
MIDPOINT,0.007959291
TRIX,0.007906959
MACDEXT_hist,0.007880261
MAVP,0.007678826
HT_PHASOR_inphase,0.0076162433
STOCHF_fastd,0.007451695
PATTERN_SUM,0.0066254055
MACDEXT_signal,0.0065962584
AVGPRICE,0.006349873
HT_PHASOR_quadrature,0.006315193
HT_DCPERIOD,0.0060043437
RSI,0.005916858
MINUS_DI,0.0058157453
MACDEXT,0.005602994
WCLPRICE,0.0055428776
CORREL,0.005084922
ROCR100,0.0
MACDFIX_signal,0.0
HT_TRENDMODE,0.0
