,importance
AROON_up,0.04401018
ULTOSC,0.031943247
AROON_down,0.024044612
STOCHF_fastk,0.022848714
HT_DCPHASE,0.02145982
MACDFIX_hist,0.020082382
BB_LOWER,0.019958086
TRIMA,0.019792689
TRANGE,0.01934418
PLUS_DM,0.018481623
MINUS_DI,0.018195769
MACD,0.017774114
CCI,0.017751126
MOM,0.016731458
HT_DCPERIOD,0.016560426
PPO,0.016518109
BB_UPPER,0.016397707
RSI,0.016069105
SAR,0.015439081
HT_TRENDLINE,0.01542308
LINEARREG_SLOPE,0.015167018
KAMA,0.015072035
LINEARREG,0.014944028
EMA,0.014626228
MACD_hist,0.013801911
LINEARREG_ANGLE,0.013632169
STDDEV,0.013425278
ATR,0.013293426
CMO,0.013230294
MINUS_DM,0.012814599
SAREXT,0.012727051
ADX,0.012632463
MEDPRICE,0.012604802
APO,0.01251315
HT_SINE_leadsine,0.012247691
TRIX,0.012176571
PATTERN_SUM,0.011663142
ROCP,0.011652406
HT_PHASOR_inphase,0.011595719
MACDEXT_signal,0.011576385
PLUS_DI,0.011534051
ROC,0.011496869
NATR,0.011353948
DEMA,0.011350769
LINEARREG_INTERCEPT,0.011294927
HT_SINE_sine,0.011269141
DX,0.011149854
BB_MIDDLE,0.011097305
VAR,0.010979584
Open,0.010885573
High,0.010755084
STOCHRSI_fastd,0.010667101
T3,0.010460418
ADXR,0.010403183
STOCH_slowk,0.010382509
STOCHRSI_fastk,0.010250859
MACDEXT_hist,0.010101541
ROCR,0.009977816
BOP,0.009918088
MACD_signal,0.009872114
TEMA,0.009716317
BETA,0.009570249
MIDPRICE,0.009465689
STOCH_slowd,0.009250688
CORREL,0.009217076
MIDPOINT,0.009198773
MACDFIX_signal,0.009097794
HT_PHASOR_quadrature,0.008793826
MA,0.008536308
Low,0.00836896
Close,0.008156156
FAMA,0.0079330765
WILLR,0.0072725466
STOCHF_fastd,0.0
ROCR100,0.0
HT_TRENDMODE,0.0
MACDEXT,0.0
WMA,0.0
MAVP,0.0
TYPPRICE,0.0
WCLPRICE,0.0
SMA,0.0
MACDFIX,0.0
TSF,0.0
AROONOSC,0.0
MAMA,0.0
AVGPRICE,0.0
