,importance
ULTOSC,0.06179086
SMA,0.046516888
AROON_up,0.042837027
MAMA,0.042184338
STOCHF_fastk,0.03389938
AROON_down,0.030136893
TRANGE,0.02661468
KAMA,0.02528892
LINEARREG_ANGLE,0.023022048
LINEARREG,0.021199105
MACDFIX_signal,0.0207577
PLUS_DM,0.02069671
MOM,0.019197654
ROCP,0.018709913
MEDPRICE,0.016169563
RSI,0.015943507
CMO,0.015781742
AROONOSC,0.015281913
MINUS_DI,0.01441029
MACD_hist,0.014121517
BB_LOWER,0.013666228
HT_TRENDLINE,0.013065873
ATR,0.012807258
Open,0.012771654
BETA,0.012733826
PATTERN_SUM,0.012565395
MACD,0.012277808
MACDFIX_hist,0.012016929
Close,0.011696073
ROC,0.011616663
TRIX,0.011026875
TSF,0.010803876
STDDEV,0.01057697
CCI,0.010075519
WILLR,0.010045682
SAREXT,0.009985214
DEMA,0.00993674
PLUS_DI,0.009769734
APO,0.009625555
NATR,0.009617748
Low,0.009445959
MINUS_DM,0.009214869
ADXR,0.008988653
STOCHRSI_fastd,0.008942946
HT_PHASOR_inphase,0.008546588
MACDEXT_signal,0.008479937
T3,0.008382384
CORREL,0.008138123
MA,0.008059126
STOCHRSI_fastk,0.008033868
MACDEXT_hist,0.007710891
DX,0.00742161
HT_DCPERIOD,0.00741918
HT_SINE_sine,0.007362034
MACD_signal,0.0073161605
STOCH_slowd,0.0071966704
TRIMA,0.0070943804
High,0.0068435883
HT_DCPHASE,0.006769895
VAR,0.006740431
MACDFIX,0.0066637085
LINEARREG_INTERCEPT,0.006579542
BB_MIDDLE,0.0065536215
MACDEXT,0.006414549
MAVP,0.0060876836
EMA,0.0060024136
BB_UPPER,0.005849971
ADX,0.005528126
STOCH_slowk,0.005440226
LINEARREG_SLOPE,0.0049658995
HT_SINE_leadsine,0.004818837
AVGPRICE,0.0046554166
PPO,0.0045774328
STOCHF_fastd,0.004435786
SAR,0.00420974
BOP,0.004134138
HT_PHASOR_quadrature,0.0037334578
TYPPRICE,0.0
MIDPRICE,0.0
MIDPOINT,0.0
FAMA,0.0
ROCR100,0.0
ROCR,0.0
TEMA,0.0
HT_TRENDMODE,0.0
WMA,0.0
WCLPRICE,0.0
