,importance
MIDPOINT,0.06016156
MAMA,0.03893658
MA,0.03716313
MACDFIX_hist,0.030851996
ULTOSC,0.0252135
ADXR,0.02471843
STOCH_slowk,0.021521877
MACDEXT,0.021399664
NATR,0.020431941
STDDEV,0.019987674
AROON_up,0.019937733
HT_PHASOR_quadrature,0.0193893
TYPPRICE,0.019088682
MACDEXT_signal,0.01880021
APO,0.01872047
MACD_hist,0.018707966
LINEARREG_ANGLE,0.018605601
ATR,0.018341323
AROON_down,0.017889597
BOP,0.017853493
ROC,0.0177235
CCI,0.017435685
TRANGE,0.017384848
Close,0.017259724
VAR,0.017139103
STOCHF_fastk,0.017023288
PATTERN_SUM,0.016875353
HT_TRENDLINE,0.016721081
HT_PHASOR_inphase,0.016269503
Low,0.016166143
TRIX,0.01611513
MACD,0.016043639
PLUS_DM,0.01595321
MOM,0.015667027
STOCHRSI_fastk,0.015355011
High,0.015057315
CMO,0.015027672
HT_DCPHASE,0.014846516
MACD_signal,0.014666812
PPO,0.014368663
WILLR,0.013872339
HT_DCPERIOD,0.013595698
MINUS_DI,0.012815656
Open,0.012008581
DX,0.011940164
BETA,0.011168973
MINUS_DM,0.0109690875
SAREXT,0.010613228
MACDFIX,0.0090811495
ADX,0.008944878
AROONOSC,0.0081510795
BB_UPPER,0.007936474
PLUS_DI,0.0066851345
SAR,0.0063532037
BB_MIDDLE,0.006313772
STOCH_slowd,0.00582901
CORREL,0.005540623
BB_LOWER,0.0050240317
MACDEXT_hist,0.0046776263
STOCHRSI_fastd,0.0037088764
MIDPRICE,0.0036719046
T3,0.003483684
KAMA,0.0034403403
EMA,0.0033545552
DEMA,0.0
ROCR,0.0
STOCHF_fastd,0.0
ROCR100,0.0
ROCP,0.0
MACDFIX_signal,0.0
HT_TRENDMODE,0.0
RSI,0.0
MEDPRICE,0.0
WMA,0.0
TRIMA,0.0
AVGPRICE,0.0
FAMA,0.0
SMA,0.0
MAVP,0.0
TSF,0.0
LINEARREG_SLOPE,0.0
LINEARREG_INTERCEPT,0.0
HT_SINE_sine,0.0
LINEARREG,0.0
HT_SINE_leadsine,0.0
WCLPRICE,0.0
TEMA,0.0
