,importance
BOP,0.07717935
BB_LOWER,0.05416253
STOCHF_fastk,0.052687466
DEMA,0.043063994
APO,0.04169323
AROON_up,0.038686316
MACDFIX_hist,0.03807406
TRIMA,0.037162423
ADXR,0.03207222
T3,0.030608105
MACDEXT_signal,0.02857292
KAMA,0.028008403
HT_PHASOR_quadrature,0.027839538
Close,0.02158904
SAREXT,0.02139191
ROCP,0.020603355
Low,0.019939637
TRANGE,0.01772018
HT_SINE_sine,0.0175142
MACD_hist,0.016706776
TRIX,0.016588883
LINEARREG_SLOPE,0.01642017
MA,0.015800927
Open,0.015661057
LINEARREG_INTERCEPT,0.015249272
ULTOSC,0.014884348
HT_DCPERIOD,0.014477889
BB_UPPER,0.014434164
High,0.013889637
MINUS_DM,0.012439004
PLUS_DI,0.012235031
STOCH_slowk,0.012111612
BB_MIDDLE,0.011118193
WILLR,0.010413048
CCI,0.0086893225
STDDEV,0.00843923
MAMA,0.008351689
AROONOSC,0.008145211
HT_TRENDLINE,0.007743819
ADX,0.00711967
MACDEXT_hist,0.0064644883
EMA,0.006048643
SAR,0.0058946176
PLUS_DM,0.0058657373
HT_DCPHASE,0.0056131603
ROC,0.005510452
LINEARREG_ANGLE,0.005366953
TEMA,0.0053636627
BETA,0.0045149713
MACD,0.004160455
ATR,0.0040229657
MACD_signal,0.0038625824
VAR,0.0036885932
HT_PHASOR_inphase,0.0035146195
DX,0.0034487194
CMO,0.003136453
NATR,0.002974911
MAVP,0.0028465213
MACDFIX,0.0025492404
MEDPRICE,0.0021735914
MINUS_DI,0.0018391343
MOM,0.0011071984
CORREL,0.00054444605
RSI,0.0
HT_TRENDMODE,0.0
STOCH_slowd,0.0
STOCHF_fastd,0.0
STOCHRSI_fastk,0.0
STOCHRSI_fastd,0.0
WMA,0.0
TYPPRICE,0.0
AROON_down,0.0
TSF,0.0
LINEARREG,0.0
WCLPRICE,0.0
AVGPRICE,0.0
HT_SINE_leadsine,0.0
FAMA,0.0
MIDPOINT,0.0
ROCR100,0.0
ROCR,0.0
MIDPRICE,0.0
PPO,0.0
MACDFIX_signal,0.0
SMA,0.0
MACDEXT,0.0
PATTERN_SUM,0.0
