,importance
HT_DCPHASE,0.3333257
Low,0.21227679
Open,0.06734456
BB_LOWER,0.06697494
APO,0.06483288
High,0.038028777
DX,0.028715018
CCI,0.025551112
Close,0.01618152
MACD_hist,0.013014929
MACDEXT_signal,0.011200422
CORREL,0.010782789
MACDEXT_hist,0.007632155
MACD_signal,0.00684517
BOP,0.006798471
MINUS_DI,0.006743462
MINUS_DM,0.0066588847
PLUS_DM,0.006457258
PLUS_DI,0.005978854
MOM,0.0055195065
ATR,0.005107205
MACD,0.004839123
TRANGE,0.00444195
CMO,0.0043109343
LINEARREG_INTERCEPT,0.003951199
T3,0.0036879263
ULTOSC,0.003419119
LINEARREG_ANGLE,0.0033569585
STOCHF_fastd,0.0028498054
STOCHF_fastk,0.0027898103
ADXR,0.0026930077
STOCH_slowd,0.002689171
DEMA,0.002632649
MACDFIX,0.0025227196
TEMA,0.0025060326
NATR,0.0024703303
MACDFIX_signal,0.0024645652
TRIX,0.0024042374
PPO,0.0
TSF,0.0
ADX,0.0
MIDPRICE,0.0
AROON_down,0.0
AROON_up,0.0
AROONOSC,0.0
MIDPOINT,0.0
MAVP,0.0
FAMA,0.0
MAMA,0.0
RSI,0.0
STOCH_slowk,0.0
MA,0.0
KAMA,0.0
HT_TRENDLINE,0.0
STOCHRSI_fastk,0.0
STOCHRSI_fastd,0.0
EMA,0.0
WILLR,0.0
BB_MIDDLE,0.0
HT_TRENDMODE,0.0
BB_UPPER,0.0
VAR,0.0
STDDEV,0.0
ROC,0.0
LINEARREG_SLOPE,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
MACDFIX_hist,0.0
MACDEXT,0.0
WMA,0.0
TRIMA,0.0
HT_DCPERIOD,0.0
SMA,0.0
HT_PHASOR_inphase,0.0
HT_PHASOR_quadrature,0.0
HT_SINE_sine,0.0
HT_SINE_leadsine,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
BETA,0.0
LINEARREG,0.0
SAREXT,0.0
SAR,0.0
PATTERN_SUM,0.0
