,importance
LINEARREG_SLOPE,0.101471476
ULTOSC,0.06626282
STOCHF_fastk,0.03969977
MACDFIX,0.038017
TEMA,0.037063073
TSF,0.034550823
WILLR,0.03367366
TRANGE,0.032895148
AROON_down,0.025928764
AROON_up,0.024742678
SAREXT,0.022323254
LINEARREG_INTERCEPT,0.019313738
PLUS_DM,0.019071272
MAVP,0.017377593
MINUS_DI,0.016740223
MIDPOINT,0.015854111
TRIMA,0.014328055
MACD,0.013415489
HT_TRENDLINE,0.013027526
MACDFIX_signal,0.012757343
VAR,0.012343681
Close,0.01220794
CCI,0.0117864
ATR,0.011455212
STOCHRSI_fastd,0.01083291
ROC,0.010571606
PPO,0.010524044
CMO,0.0101526445
MACDEXT_hist,0.009730551
MIDPRICE,0.009000694
PATTERN_SUM,0.008924469
HT_PHASOR_inphase,0.0086418325
STOCHRSI_fastk,0.008277753
TRIX,0.008271662
ADXR,0.008106368
MOM,0.008100363
SAR,0.0079188
LINEARREG_ANGLE,0.007858544
STOCH_slowd,0.007844428
PLUS_DI,0.0074558947
MINUS_DM,0.0072954963
MACD_hist,0.0071624746
BB_UPPER,0.0070488444
BOP,0.006737844
KAMA,0.0067296806
NATR,0.006613536
DX,0.006591893
AVGPRICE,0.0064700427
ADX,0.006460005
BETA,0.006450582
Low,0.0063578677
HT_DCPERIOD,0.006235309
MACDEXT_signal,0.00606679
MACD_signal,0.0060663586
SMA,0.006056728
STOCH_slowk,0.006015476
MACDFIX_hist,0.005801568
BB_LOWER,0.0055760513
APO,0.0053612543
CORREL,0.0052301465
BB_MIDDLE,0.0051285108
HT_SINE_leadsine,0.0049246377
STDDEV,0.0048992895
HT_SINE_sine,0.0047084666
EMA,0.004387006
MAMA,0.004319029
Open,0.0042662565
AROONOSC,0.004241958
RSI,0.004219058
HT_DCPHASE,0.004210196
High,0.004158353
FAMA,0.00390716
HT_PHASOR_quadrature,0.0038971498
WCLPRICE,0.003708499
DEMA,0.003285064
HT_TRENDMODE,0.0031795995
TYPPRICE,0.0027944176
STOCHF_fastd,0.0027046502
ROCP,0.0024315785
MEDPRICE,0.0024018057
LINEARREG,0.002155349
MA,0.0017794565
MACDEXT,0.0013609184
T3,0.0011494528
WMA,0.00093461375
ROCR100,0.0
ROCR,0.0
