,importance
MINUS_DM,0.06806525
Close,0.053831518
AROON_up,0.042334516
ULTOSC,0.037830703
STOCHF_fastk,0.03563492
ADX,0.033686988
TRANGE,0.03354624
STOCH_slowk,0.028450277
CORREL,0.024052646
STDDEV,0.023784371
HT_PHASOR_quadrature,0.022541653
MACDEXT_hist,0.020391885
MACD_signal,0.019583467
PPO,0.019212108
CCI,0.018460473
WILLR,0.018023878
WMA,0.017971637
Open,0.017787129
HT_DCPERIOD,0.017782105
MAVP,0.017359503
DX,0.017312465
STOCHRSI_fastd,0.01725118
CMO,0.017214619
PLUS_DI,0.017184608
BOP,0.01705927
ATR,0.016701235
LINEARREG_SLOPE,0.015993342
SAREXT,0.015447628
MACD,0.015280351
HT_SINE_sine,0.01513959
APO,0.013887599
ROC,0.013177512
LINEARREG_INTERCEPT,0.013147047
STOCHRSI_fastk,0.013139176
TRIX,0.01292185
MINUS_DI,0.012752187
MOM,0.012687223
HT_PHASOR_inphase,0.012399602
PLUS_DM,0.012328379
BB_MIDDLE,0.011726512
VAR,0.011356763
AROON_down,0.011140407
Low,0.011105321
SAR,0.010862181
MIDPOINT,0.010173151
MACD_hist,0.010014054
TEMA,0.009687741
BETA,0.009523959
ADXR,0.009297274
HT_SINE_leadsine,0.009190215
MEDPRICE,0.008962563
RSI,0.00881255
NATR,0.008423353
STOCH_slowd,0.008367975
HT_TRENDLINE,0.0
DEMA,0.0
HT_TRENDMODE,0.0
BB_UPPER,0.0
AROONOSC,0.0
BB_LOWER,0.0
EMA,0.0
FAMA,0.0
MAMA,0.0
MA,0.0
KAMA,0.0
STOCHF_fastd,0.0
MACDFIX_hist,0.0
SMA,0.0
MIDPRICE,0.0
MACDEXT,0.0
MACDFIX_signal,0.0
MACDFIX,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
High,0.0
MACDEXT_signal,0.0
HT_DCPHASE,0.0
TSF,0.0
TRIMA,0.0
AVGPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
LINEARREG,0.0
LINEARREG_ANGLE,0.0
T3,0.0
PATTERN_SUM,0.0
