,importance
AROON_up,0.043561496
ULTOSC,0.04280625
STOCHF_fastk,0.031224655
AROON_down,0.027995052
PLUS_DI,0.025764013
WILLR,0.023847777
TRANGE,0.022225654
PPO,0.020429552
MAVP,0.019515084
TRIMA,0.019455863
CMO,0.01861219
TSF,0.017923564
MACDEXT,0.017079864
ROCP,0.0170492
STOCHRSI_fastk,0.015613358
MINUS_DI,0.01536335
DX,0.015175898
MACDFIX,0.01492437
FAMA,0.014914195
CCI,0.013891995
MACD_signal,0.01364919
ATR,0.0134479785
STOCHRSI_fastd,0.013429933
MINUS_DM,0.013316814
VAR,0.0133158155
PLUS_DM,0.0132865
ROCR,0.012930966
MACDFIX_hist,0.012640723
STOCH_slowk,0.012639395
LINEARREG_INTERCEPT,0.012506186
SAREXT,0.012059023
ADX,0.0117272325
STDDEV,0.011510065
DEMA,0.011223899
HT_TRENDLINE,0.011060407
ROC,0.0108885
TEMA,0.010464036
ADXR,0.010439972
STOCH_slowd,0.010407951
RSI,0.010363037
MACDEXT_signal,0.010334909
SAR,0.010229094
TRIX,0.00992687
MOM,0.009599997
HT_PHASOR_inphase,0.0095403725
MACDFIX_signal,0.009439489
BOP,0.0094255265
LINEARREG_ANGLE,0.0092069935
MA,0.009188899
HT_PHASOR_quadrature,0.009111428
MIDPOINT,0.009037145
CORREL,0.008837614
NATR,0.008837175
STOCHF_fastd,0.008779428
Close,0.008743445
HT_SINE_leadsine,0.008495398
BB_LOWER,0.008382062
APO,0.008352017
MACD_hist,0.0081430925
KAMA,0.008120485
HT_DCPHASE,0.007986972
HT_DCPERIOD,0.007983482
MACD,0.00797422
LINEARREG,0.007912514
HT_SINE_sine,0.007867189
LINEARREG_SLOPE,0.007749657
BB_MIDDLE,0.0077229333
BETA,0.007564268
T3,0.00735002
AROONOSC,0.0069559813
MAMA,0.006944925
PATTERN_SUM,0.0061261617
BB_UPPER,0.0060826945
High,0.0059283935
MACDEXT_hist,0.005905909
MEDPRICE,0.0058068405
HT_TRENDMODE,0.00506545
EMA,0.004940563
TYPPRICE,0.004837384
Low,0.0040642107
Open,0.0038813897
SMA,0.002936468
WCLPRICE,0.0
AVGPRICE,0.0
ROCR100,0.0
WMA,0.0
MIDPRICE,0.0
