,importance
HT_TRENDLINE,0.39750317
BB_MIDDLE,0.036618512
CCI,0.03594413
Close,0.029226013
CMO,0.029201118
ADX,0.026813162
HT_DCPERIOD,0.022318102
BB_LOWER,0.022268856
PLUS_DM,0.021691296
ROC,0.02074441
PLUS_DI,0.020517102
STDDEV,0.018339682
VAR,0.016918363
BB_UPPER,0.016276548
TRANGE,0.01611368
PPO,0.015916834
TRIX,0.0147322845
AROON_up,0.013482533
Open,0.011616496
MACD_hist,0.01107357
DX,0.011070136
SAR,0.010427292
APO,0.009025836
RSI,0.008598501
High,0.007637361
STOCH_slowk,0.0072795064
WMA,0.0068636476
STOCH_slowd,0.0067352774
SAREXT,0.006626388
LINEARREG_ANGLE,0.0066049662
ULTOSC,0.006548571
HT_PHASOR_quadrature,0.006303641
MACD,0.006239223
STOCHF_fastk,0.0060792924
HT_SINE_sine,0.0060475417
MINUS_DM,0.0060153627
MACD_signal,0.0059993914
BETA,0.0056868126
MOM,0.005428624
HT_DCPHASE,0.0048527657
HT_PHASOR_inphase,0.004262022
STOCHRSI_fastd,0.004099509
AROON_down,0.004025141
MINUS_DI,0.0038554212
CORREL,0.0034198116
MACDEXT_signal,0.0033760928
STOCHRSI_fastk,0.003340433
ATR,0.0030422849
MACDEXT_hist,0.0029973118
HT_SINE_leadsine,0.0029454087
MACDFIX_hist,0.0029125456
ROCP,0.002888787
BOP,0.0028599512
NATR,0.0028425523
Low,0.0026492053
LINEARREG_INTERCEPT,0.0024623878
MA,0.0024548538
MAVP,0.0020903682
ADXR,0.0020815232
T3,0.0020137676
KAMA,0.0019946226
AROONOSC,0.0
EMA,0.0
DEMA,0.0
HT_TRENDMODE,0.0
WILLR,0.0
STOCHF_fastd,0.0
SMA,0.0
AVGPRICE,0.0
TSF,0.0
MAMA,0.0
TEMA,0.0
TRIMA,0.0
MACDEXT,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
MIDPRICE,0.0
MIDPOINT,0.0
ROCR,0.0
ROCR100,0.0
FAMA,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
LINEARREG,0.0
LINEARREG_SLOPE,0.0
PATTERN_SUM,0.0
