,importance
LINEARREG_ANGLE,0.11110889
LINEARREG_SLOPE,0.10891005
ROC,0.06724582
SAR,0.05628394
MACD_hist,0.056172635
FAMA,0.056167323
MAMA,0.056132548
PLUS_DM,0.053823557
DEMA,0.0437874
MAVP,0.042006247
WMA,0.03735874
BB_MIDDLE,0.03735855
MINUS_DM,0.03735855
EMA,0.031453546
KAMA,0.028018866
MOM,0.02495554
CCI,0.02475685
DX,0.02152802
BB_UPPER,0.018898888
Close,0.016247997
Low,0.015672246
Open,0.014653789
TRANGE,0.0127785625
BB_LOWER,0.008140818
High,0.00787055
PLUS_DI,0.0011888867
NATR,0.0011627125
HT_DCPERIOD,0.0011059428
MACDEXT,0.0010697759
MACD_signal,0.00088266056
MINUS_DI,0.00087203394
APO,0.0008521513
HT_TRENDLINE,0.00078483176
T3,0.00074796856
SAREXT,0.00071786705
WCLPRICE,0.0006986717
AVGPRICE,0.0005573886
TEMA,0.00046636845
HT_PHASOR_inphase,0.00020287752
VAR,0.0
ADX,0.0
ADXR,0.0
AROON_down,0.0
AROON_up,0.0
TSF,0.0
STDDEV,0.0
AROONOSC,0.0
ULTOSC,0.0
CMO,0.0
RSI,0.0
CORREL,0.0
HT_TRENDMODE,0.0
BOP,0.0
STOCH_slowk,0.0
STOCH_slowd,0.0
STOCHF_fastk,0.0
STOCHF_fastd,0.0
WILLR,0.0
STOCHRSI_fastd,0.0
STOCHRSI_fastk,0.0
TRIX,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG,0.0
MA,0.0
MIDPOINT,0.0
MIDPRICE,0.0
SMA,0.0
TRIMA,0.0
MACD,0.0
MACDEXT_signal,0.0
MACDEXT_hist,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
MACDFIX_hist,0.0
PPO,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
ATR,0.0
HT_DCPHASE,0.0
HT_PHASOR_quadrature,0.0
HT_SINE_sine,0.0
HT_SINE_leadsine,0.0
MEDPRICE,0.0
TYPPRICE,0.0
BETA,0.0
PATTERN_SUM,0.0
